candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
AI_00001,AI_NLP_Engineer,AI/NLP Engineer,M,41-45,1,Diploma,1.6,0.806,0.8094,0.9077,0.8448,0.5624,0.5333,0.8875,0.7,0.858,0.7948,0,0,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00002,AI_NLP_Engineer,AI/NLP Engineer,M,41-45,4,PhD,4.8,0.791,0.8588,1.0,0.8603,0.9164,1.0,0.6494,0.8213,0.9088,0.8738,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00003,AI_NLP_Engineer,AI/NLP Engineer,M,36-40,3,MSc,5.4,0.741,0.6978,0.6449,0.8593,0.7764,1.0,0.5989,0.7636,0.7439,0.7518,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00004,AI_NLP_Engineer,AI/NLP Engineer,F,22-25,4,PhD,6.1,0.797,1.0,1.0,1.0,0.9188,1.0,0.7832,0.8821,1.0,0.9528,1,3,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00005,AI_NLP_Engineer,AI/NLP Engineer,M,26-30,3,MSc,1.1,0.671,0.8453,0.8073,0.7442,0.7484,0.3667,0.7105,0.6168,0.7916,0.7217,0,3,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00006,AI_NLP_Engineer,AI/NLP Engineer,M,22-25,3,MSc,3.8,0.614,0.9904,0.8574,0.8626,0.7256,1.0,0.5932,0.7483,0.8927,0.8349,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00007,AI_NLP_Engineer,AI/NLP Engineer,M,26-30,2,BSc,2.1,0.628,0.5094,0.8598,0.7078,0.6112,0.7,0.3604,0.525,0.7114,0.6368,0,0,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00008,AI_NLP_Engineer,AI/NLP Engineer,M,36-40,2,BSc,4.9,0.692,0.8275,0.7412,0.9179,0.6368,1.0,0.8446,0.8393,0.8335,0.8358,0,0,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00009,AI_NLP_Engineer,AI/NLP Engineer,M,31-35,3,MSc,0.6,0.959,0.8718,0.762,0.8196,0.8636,0.2,0.7698,0.6223,0.8125,0.7364,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00010,AI_NLP_Engineer,AI/NLP Engineer,F,26-30,1,Diploma,4.8,0.484,0.6523,1.0,0.9332,0.4336,1.0,0.7781,0.7585,0.8864,0.8352,0,0,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
AI_00011,AI_NLP_Engineer,AI/NLP Engineer,M,31-35,3,MSc,1.3,0.72,0.8437,0.932,0.8866,0.768,0.4333,0.7872,0.6762,0.8918,0.8056,0,3,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
