candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
BE00001,Backend_Developer,Backend Developer,F,26-30,2,BSc,1.9,0.7098,0.6145,0.3592,0.7803,0.6439,0.6333,0.5595,0.5985,0.6208,0.6119,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00002,Backend_Developer,Backend Developer,M,22-25,3,MSc,2.2,0.6778,0.7747,0.5348,0.568,0.7511,0.7333,0.6379,0.6892,0.5994,0.6353,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00003,Backend_Developer,Backend Developer,F,26-30,2,BSc,4.4,0.6828,0.7076,0.5012,0.906,0.6331,1.0,0.5185,0.6859,0.7449,0.7213,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00004,Backend_Developer,Backend Developer,F,22-25,2,BSc,3.6,0.5324,0.6528,0.6724,0.7942,0.573,1.0,0.6604,0.7448,0.7294,0.7356,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00005,Backend_Developer,Backend Developer,M,26-30,4,PhD,4.4,0.5269,0.8218,0.5586,0.7809,0.8107,1.0,0.604,0.7642,0.7224,0.7391,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00006,Backend_Developer,Backend Developer,M,26-30,2,BSc,6.0,0.7268,0.6518,0.5684,0.8053,0.6507,1.0,0.5772,0.7188,0.7035,0.7096,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00007,Backend_Developer,Backend Developer,M,31-35,3,MSc,6.7,0.548,0.7901,0.5997,0.9479,0.6992,1.0,0.7467,0.8132,0.8119,0.8124,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00008,Backend_Developer,Backend Developer,F,22-25,3,MSc,4.5,0.6991,0.8326,0.6906,0.796,0.7596,1.0,0.6721,0.788,0.7717,0.7782,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00009,Backend_Developer,Backend Developer,M,22-25,2,BSc,4.3,0.637,0.7059,0.8742,0.5566,0.6148,1.0,0.5984,0.7222,0.6818,0.698,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
BE00010,Backend_Developer,Backend Developer,F,26-30,3,MSc,7.6,0.9254,0.9252,0.8935,0.783,0.8501,1.0,0.8814,0.9107,0.8446,0.871,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
