candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
BLO00001,Blockchain_Developer,Blockchain Developer,F,31-35,3,MSc,3.0,0.792,0.6132,0.7568,0.6902,0.7968,1.0,0.6567,0.7807,0.6948,0.7292,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00002,Blockchain_Developer,Blockchain Developer,F,36-40,3,MSc,2.7,1.0,0.768,0.6808,0.8327,0.88,1.0,0.6593,0.7946,0.7742,0.7824,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00003,Blockchain_Developer,Blockchain Developer,M,26-30,2,BSc,1.0,0.693,0.6487,0.568,0.826,0.6372,0.4,0.6083,0.5501,0.7131,0.6479,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00004,Blockchain_Developer,Blockchain Developer,M,36-40,3,MSc,4.0,0.696,0.8278,0.6444,0.9077,0.7584,1.0,0.6401,0.7658,0.8127,0.7939,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00005,Blockchain_Developer,Blockchain Developer,F,26-30,2,BSc,0.4,0.708,0.607,0.6274,0.7138,0.6432,0.16,0.6979,0.5283,0.6665,0.6112,0,0,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00006,Blockchain_Developer,Blockchain Developer,F,26-30,2,BSc,4.6,0.667,0.8067,0.5385,0.7691,0.6268,1.0,0.7229,0.7916,0.7074,0.7411,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00007,Blockchain_Developer,Blockchain Developer,F,22-25,2,BSc,1.9,0.705,0.8357,0.6541,0.8964,0.642,0.76,0.7285,0.725,0.8116,0.777,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00008,Blockchain_Developer,Blockchain Developer,F,31-35,2,BSc,0.8,0.7,0.8469,0.74,0.9312,0.64,0.32,0.76,0.61,0.857,0.7582,0,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00009,Blockchain_Developer,Blockchain Developer,M,31-35,3,MSc,3.3,0.804,0.9212,0.7945,0.7803,0.8016,1.0,0.8219,0.8723,0.8127,0.8365,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
BLO00010,Blockchain_Developer,Blockchain Developer,M,26-30,3,MSc,2.1,0.766,0.7666,0.7661,1.0,0.7864,0.84,0.647,0.7258,0.8831,0.8202,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
