candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
BUS00001,Business_Systems_Analyst,Business/Systems Analyst,F,22-25,2,BSc,2.3,0.555,0.8604,0.9198,0.5556,0.582,0.7667,0.6206,0.6621,0.8444,0.7715,1,2,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00002,Business_Systems_Analyst,Business/Systems Analyst,F,22-25,2,BSc,6.9,0.731,1.0,0.9054,0.8247,0.6524,1.0,1.0,0.9131,0.9264,0.9211,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00003,Business_Systems_Analyst,Business/Systems Analyst,M,31-35,2,BSc,5.2,0.609,0.6879,0.953,0.8821,0.6036,1.0,0.8794,0.8527,0.8496,0.8508,1,2,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00004,Business_Systems_Analyst,Business/Systems Analyst,M,31-35,2,BSc,8.4,0.939,0.8501,1.0,0.7567,0.7356,1.0,0.9052,0.896,0.911,0.905,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00005,Business_Systems_Analyst,Business/Systems Analyst,M,26-30,2,BSc,8.7,0.669,0.9443,1.0,0.6927,0.6276,1.0,0.8685,0.8543,0.9344,0.9024,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00006,Business_Systems_Analyst,Business/Systems Analyst,F,31-35,1,Diploma,4.6,0.445,0.8354,0.8523,0.6773,0.418,1.0,0.5123,0.6594,0.8201,0.7558,0,0,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00007,Business_Systems_Analyst,Business/Systems Analyst,M,31-35,2,BSc,0.0,0.932,0.5714,1.0,0.6591,0.7328,0.0,0.783,0.4964,0.7989,0.6779,0,0,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00008,Business_Systems_Analyst,Business/Systems Analyst,M,36-40,2,BSc,4.2,0.831,0.9872,0.9414,0.8965,0.6924,1.0,0.9155,0.8893,0.9507,0.9261,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00009,Business_Systems_Analyst,Business/Systems Analyst,F,26-30,2,BSc,2.2,0.709,0.6591,0.8115,0.8011,0.6436,0.7333,0.5895,0.6534,0.7566,0.7153,1,2,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00010,Business_Systems_Analyst,Business/Systems Analyst,M,22-25,2,BSc,1.7,0.752,0.9151,0.8519,0.8152,0.6608,0.5667,0.71,0.6475,0.8685,0.7801,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00011,Business_Systems_Analyst,Business/Systems Analyst,F,31-35,2,BSc,1.4,0.687,0.7989,0.9037,0.6463,0.6348,0.4667,0.8161,0.6485,0.8284,0.7564,0,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00012,Business_Systems_Analyst,Business/Systems Analyst,M,31-35,3,MSc,4.2,0.701,0.8928,0.9641,0.8258,0.7604,1.0,0.9128,0.9052,0.9184,0.9131,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00013,Business_Systems_Analyst,Business/Systems Analyst,F,46+,2,BSc,6.3,0.681,0.7618,0.8152,0.7198,0.6324,1.0,0.8121,0.8329,0.7822,0.8025,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00014,Business_Systems_Analyst,Business/Systems Analyst,M,26-30,3,MSc,6.9,0.711,0.8356,0.9338,0.8974,0.7644,1.0,0.9833,0.9344,0.894,0.9102,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00015,Business_Systems_Analyst,Business/Systems Analyst,M,31-35,2,BSc,2.1,0.635,0.9154,0.9416,0.7834,0.614,0.7,0.8381,0.7337,0.9087,0.8387,1,3,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
BUS00016,Business_Systems_Analyst,Business/Systems Analyst,M,36-40,3,MSc,1.4,0.769,0.9049,0.89,0.4496,0.7876,0.4667,0.6728,0.6294,0.8292,0.7493,0,2,0.25,0.35,0.4,0.35,0.5,0.15,0.4,0.6
