candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
CYB00001,Cybersecurity_Analyst,Cybersecurity Analyst,M,22-25,3,MSc,2.9,0.696,0.8357,0.814,0.768,0.7584,0.9667,0.5499,0.7375,0.8124,0.7824,1,2,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00002,Cybersecurity_Analyst,Cybersecurity Analyst,M,26-30,2,BSc,3.2,0.615,0.863,0.7828,0.8312,0.606,1.0,0.8208,0.8406,0.8206,0.8286,1,2,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00003,Cybersecurity_Analyst,Cybersecurity Analyst,F,22-25,2,BSc,5.1,0.547,1.0,0.7238,0.7605,0.5788,1.0,0.7751,0.8146,0.8278,0.8225,1,2,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00004,Cybersecurity_Analyst,Cybersecurity Analyst,F,22-25,4,PhD,6.6,0.74,0.8,0.7331,0.6804,0.896,1.0,0.8369,0.9058,0.746,0.8099,1,2,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00005,Cybersecurity_Analyst,Cybersecurity Analyst,M,22-25,2,BSc,4.5,0.748,0.9462,0.9035,0.7167,0.6592,1.0,0.8016,0.8426,0.8811,0.8657,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00006,Cybersecurity_Analyst,Cybersecurity Analyst,F,31-35,3,MSc,2.9,0.565,1.0,0.5641,0.8673,0.706,0.9667,0.9024,0.8856,0.7773,0.8206,1,1,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00007,Cybersecurity_Analyst,Cybersecurity Analyst,F,31-35,2,BSc,4.6,0.66,1.0,0.874,0.7608,0.624,1.0,0.793,0.8317,0.8955,0.87,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00008,Cybersecurity_Analyst,Cybersecurity Analyst,F,26-30,2,BSc,2.2,0.663,0.9161,0.9518,0.9073,0.6252,0.7333,0.947,0.8078,0.9304,0.8814,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00009,Cybersecurity_Analyst,Cybersecurity Analyst,M,41-45,2,BSc,0.3,0.849,0.8903,0.9566,0.7673,0.6996,0.1,0.6534,0.469,0.8955,0.7249,0,0,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00010,Cybersecurity_Analyst,Cybersecurity Analyst,F,36-40,3,MSc,8.7,0.764,0.6497,0.9632,0.6452,0.7856,1.0,0.7987,0.8665,0.7899,0.8205,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00011,Cybersecurity_Analyst,Cybersecurity Analyst,F,31-35,2,BSc,3.8,0.699,0.8869,0.9994,0.9301,0.6396,1.0,0.8591,0.8645,0.9462,0.9135,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00012,Cybersecurity_Analyst,Cybersecurity Analyst,F,22-25,2,BSc,3.3,0.592,0.7316,0.7637,0.8403,0.5968,1.0,0.7864,0.8232,0.7678,0.79,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00013,Cybersecurity_Analyst,Cybersecurity Analyst,F,31-35,3,MSc,4.1,0.787,0.8713,0.9127,1.0,0.7948,1.0,0.9003,0.9141,0.9157,0.9151,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00014,Cybersecurity_Analyst,Cybersecurity Analyst,F,36-40,3,MSc,4.2,0.774,0.7885,0.8514,0.871,0.7896,1.0,0.7986,0.8673,0.8333,0.8469,1,3,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
CYB00015,Cybersecurity_Analyst,Cybersecurity Analyst,M,26-30,1,Diploma,3.8,0.726,0.9478,0.7185,0.739,0.5304,1.0,0.6386,0.7434,0.8029,0.7791,0,0,0.2,0.35,0.45,0.35,0.45,0.2,0.4,0.6
