candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
DAT00001,Data_Engineer,Data Engineer,M,26-30,3,MSc,3.2,0.733,0.8873,0.9974,0.9656,0.7732,1.0,0.8574,0.8905,0.9572,0.9305,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00002,Data_Engineer,Data Engineer,M,31-35,3,MSc,2.1,0.805,0.8325,0.8368,0.7769,0.802,0.7,0.9078,0.8139,0.8118,0.8126,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00003,Data_Engineer,Data Engineer,F,26-30,4,PhD,7.4,0.789,0.9652,1.0,1.0,0.9156,1.0,1.0,0.9831,0.9913,0.988,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00004,Data_Engineer,Data Engineer,F,31-35,3,MSc,1.1,0.933,0.9713,0.6849,0.7674,0.8532,0.3667,0.6591,0.5956,0.7895,0.7119,0,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00005,Data_Engineer,Data Engineer,M,31-35,2,BSc,3.3,0.784,1.0,0.6925,0.9381,0.6736,1.0,0.6874,0.794,0.8676,0.8382,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00006,Data_Engineer,Data Engineer,F,31-35,1,Diploma,8.1,0.491,0.8146,1.0,1.0,0.4364,1.0,0.9892,0.8824,0.9536,0.9251,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00007,Data_Engineer,Data Engineer,F,31-35,2,BSc,5.6,0.548,0.8031,0.9393,1.0,0.5792,1.0,0.757,0.8065,0.9295,0.8803,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00008,Data_Engineer,Data Engineer,M,26-30,2,BSc,0.4,0.674,0.8175,0.7392,0.9426,0.6296,0.1333,0.5361,0.4138,0.8401,0.6696,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00009,Data_Engineer,Data Engineer,F,26-30,3,MSc,8.4,0.711,0.7348,0.9197,1.0,0.7644,1.0,0.8455,0.8834,0.9056,0.8967,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00010,Data_Engineer,Data Engineer,M,26-30,3,MSc,4.9,0.737,0.9337,0.8053,1.0,0.7748,1.0,1.0,0.955,0.9153,0.9312,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00011,Data_Engineer,Data Engineer,M,41-45,2,BSc,1.7,0.891,0.6944,0.751,0.9259,0.7164,0.5667,0.6445,0.6317,0.8068,0.7368,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00012,Data_Engineer,Data Engineer,F,41-45,3,MSc,5.4,0.488,0.8722,0.7498,1.0,0.6752,1.0,0.6814,0.7917,0.8805,0.845,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00013,Data_Engineer,Data Engineer,F,36-40,2,BSc,0.9,0.753,1.0,0.9292,0.9644,0.6612,0.3,0.8086,0.6011,0.961,0.817,0,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00014,Data_Engineer,Data Engineer,M,26-30,2,BSc,1.1,0.601,0.776,0.7444,1.0,0.6004,0.3667,0.8085,0.6123,0.8545,0.7576,0,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00015,Data_Engineer,Data Engineer,F,31-35,2,BSc,0.8,0.555,0.7719,0.8277,0.8661,0.582,0.2667,0.672,0.5121,0.8291,0.7023,0,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00016,Data_Engineer,Data Engineer,M,41-45,2,BSc,0.3,0.776,1.0,0.7699,0.798,0.6704,0.1,0.8368,0.5456,0.8387,0.7215,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00017,Data_Engineer,Data Engineer,M,36-40,2,BSc,3.8,0.836,0.7976,0.9224,1.0,0.6944,1.0,0.8123,0.8544,0.9222,0.8951,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00018,Data_Engineer,Data Engineer,M,41-45,2,BSc,4.3,0.562,0.8641,0.912,1.0,0.5848,1.0,0.9734,0.905,0.9352,0.9231,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00019,Data_Engineer,Data Engineer,M,36-40,3,MSc,0.0,0.961,1.0,0.7621,0.8177,0.8644,0.0,0.6331,0.4578,0.8438,0.6894,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00020,Data_Engineer,Data Engineer,M,41-45,2,BSc,5.0,0.584,0.8942,0.7545,0.9402,0.5936,1.0,0.7948,0.8264,0.8637,0.8488,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00021,Data_Engineer,Data Engineer,M,36-40,3,MSc,4.5,0.685,0.909,0.5479,0.9087,0.754,1.0,0.8855,0.8993,0.7825,0.8292,1,1,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00022,Data_Engineer,Data Engineer,M,22-25,2,BSc,9.0,0.883,0.8227,1.0,0.927,0.7132,1.0,0.8338,0.8679,0.9265,0.9031,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00023,Data_Engineer,Data Engineer,F,26-30,3,MSc,4.6,0.669,0.7662,0.975,0.9291,0.7476,1.0,0.9331,0.9194,0.9044,0.9104,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00024,Data_Engineer,Data Engineer,F,36-40,3,MSc,4.7,0.852,0.7797,0.9208,0.8333,0.8208,1.0,0.7826,0.8663,0.8505,0.8568,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00025,Data_Engineer,Data Engineer,M,26-30,2,BSc,7.4,0.683,0.9316,0.923,1.0,0.6332,1.0,0.8257,0.8482,0.9559,0.9128,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00026,Data_Engineer,Data Engineer,F,26-30,3,MSc,0.0,0.668,1.0,0.7759,0.8798,0.7472,0.0,0.853,0.5333,0.8735,0.7374,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00027,Data_Engineer,Data Engineer,M,26-30,2,BSc,0.2,0.722,0.7969,0.6939,1.0,0.6488,0.0667,0.6862,0.4619,0.8421,0.69,0,0,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00028,Data_Engineer,Data Engineer,F,31-35,4,PhD,1.8,0.748,0.8313,0.7649,0.802,0.8992,0.6,0.5743,0.6483,0.7963,0.7371,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00029,Data_Engineer,Data Engineer,F,26-30,3,MSc,2.1,0.546,0.7751,0.7236,0.9393,0.6984,0.7,0.7469,0.7208,0.8228,0.782,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00030,Data_Engineer,Data Engineer,F,31-35,3,MSc,5.7,0.657,1.0,0.8153,0.9465,0.7428,1.0,0.8163,0.8659,0.914,0.8948,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00031,Data_Engineer,Data Engineer,M,41-45,2,BSc,3.1,0.721,0.9631,0.7202,0.9945,0.6484,1.0,0.7082,0.7984,0.8906,0.8537,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00032,Data_Engineer,Data Engineer,M,31-35,2,BSc,3.9,0.547,0.9003,0.6794,0.9206,0.5788,1.0,0.835,0.8415,0.8311,0.8353,1,2,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00033,Data_Engineer,Data Engineer,M,26-30,3,MSc,3.1,0.765,0.8208,0.7527,1.0,0.786,1.0,0.7814,0.8588,0.8686,0.8647,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00034,Data_Engineer,Data Engineer,F,36-40,2,BSc,4.6,0.84,0.91,0.8773,0.8275,0.696,1.0,0.751,0.8272,0.8656,0.8502,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00035,Data_Engineer,Data Engineer,M,26-30,2,BSc,2.0,0.651,0.7063,0.8248,0.9307,0.6204,0.6667,0.7586,0.6988,0.8375,0.782,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00036,Data_Engineer,Data Engineer,M,36-40,3,MSc,4.3,0.812,0.9057,0.7719,0.9391,0.8048,1.0,0.7274,0.8383,0.8722,0.8586,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00037,Data_Engineer,Data Engineer,M,46+,2,BSc,1.4,0.597,0.7705,0.4792,0.7282,0.5988,0.4667,0.565,0.5374,0.6516,0.6059,0,1,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00038,Data_Engineer,Data Engineer,M,22-25,2,BSc,2.7,0.695,0.9687,1.0,1.0,0.638,0.9,0.7435,0.7772,0.9922,0.9062,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00039,Data_Engineer,Data Engineer,M,26-30,2,BSc,6.2,0.512,0.9162,0.949,0.9415,0.5648,1.0,0.7669,0.8081,0.9378,0.8859,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00040,Data_Engineer,Data Engineer,M,22-25,2,BSc,5.1,0.6,0.9242,0.924,1.0,0.6,1.0,0.9145,0.8815,0.9545,0.9253,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00041,Data_Engineer,Data Engineer,F,31-35,2,BSc,2.9,0.73,0.829,0.917,0.8526,0.652,0.9667,0.7643,0.8127,0.8692,0.8466,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
DAT00042,Data_Engineer,Data Engineer,F,26-30,2,BSc,1.5,0.511,0.7313,0.7736,0.782,0.5644,0.5,0.7164,0.6103,0.7664,0.704,1,3,0.2,0.35,0.45,0.25,0.35,0.4,0.4,0.6
