candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
DS00001,Data_Scientist,Data Scientist,M,22-25,3,MSc,4.5,0.9184,0.7116,0.7494,0.7873,0.8474,1.0,0.715,0.8402,0.7456,0.7834,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00002,Data_Scientist,Data Scientist,M,22-25,2,BSc,7.9,0.6539,0.7946,0.9043,0.5696,0.6215,1.0,0.8809,0.8388,0.8044,0.8182,0,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00003,Data_Scientist,Data Scientist,M,26-30,3,MSc,3.5,0.5278,0.4917,0.7055,0.7042,0.6911,1.0,0.5543,0.729,0.6411,0.6763,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00004,Data_Scientist,Data Scientist,F,22-25,4,PhD,1.1,0.653,0.7541,0.6261,0.5459,0.8612,0.44,0.7071,0.6732,0.6485,0.6584,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00005,Data_Scientist,Data Scientist,F,26-30,2,BSc,0.0,0.575,0.6782,0.6094,0.5049,0.59,0.0,0.5452,0.3951,0.6091,0.5235,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00006,Data_Scientist,Data Scientist,M,22-25,2,BSc,1.1,0.7192,0.5234,0.6433,0.5673,0.6477,0.44,0.6231,0.5756,0.5921,0.5855,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00007,Data_Scientist,Data Scientist,F,26-30,3,MSc,7.0,1.0,0.6869,0.7267,0.6011,0.88,1.0,0.496,0.7624,0.6897,0.7188,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00008,Data_Scientist,Data Scientist,M,40+,3,MSc,3.7,0.6801,0.5713,0.4537,0.779,0.752,1.0,0.4195,0.6934,0.554,0.6098,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00009,Data_Scientist,Data Scientist,M,26-30,2,BSc,4.1,0.7682,0.644,0.7171,0.5611,0.6673,1.0,0.7068,0.7829,0.6639,0.7115,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00010,Data_Scientist,Data Scientist,M,36-40,3,MSc,5.6,0.8502,0.7356,0.7917,0.7181,0.8201,1.0,0.7058,0.8283,0.7601,0.7874,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00011,Data_Scientist,Data Scientist,M,22-25,3,MSc,4.0,0.6407,0.76,0.8463,0.7243,0.7363,1.0,0.9247,0.8908,0.796,0.8339,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00012,Data_Scientist,Data Scientist,M,26-30,3,MSc,0.3,0.8944,0.5937,0.509,0.4671,0.8377,0.12,0.4043,0.449,0.526,0.4952,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00013,Data_Scientist,Data Scientist,M,31-35,2,BSc,3.4,0.6339,0.7587,0.6427,0.6377,0.6135,1.0,0.6666,0.7507,0.6765,0.7062,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00014,Data_Scientist,Data Scientist,F,36-40,3,MSc,0.3,0.787,0.7772,0.5194,0.4619,0.7948,0.12,0.6275,0.5255,0.5852,0.5613,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00015,Data_Scientist,Data Scientist,F,22-25,2,BSc,2.7,0.8981,0.7934,0.7459,0.4314,0.7192,1.0,0.605,0.7578,0.6972,0.7214,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00016,Data_Scientist,Data Scientist,F,26-30,3,MSc,4.5,0.7059,0.6798,0.6916,0.9965,0.7624,1.0,0.5497,0.7486,0.7491,0.7489,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00017,Data_Scientist,Data Scientist,M,26-30,3,MSc,8.6,0.871,0.8455,0.6574,0.6497,0.8284,1.0,0.6302,0.8006,0.7123,0.7476,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00018,Data_Scientist,Data Scientist,M,22-25,3,MSc,4.6,1.0,0.4806,0.6485,0.6055,0.88,1.0,0.4998,0.7639,0.5895,0.6593,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00019,Data_Scientist,Data Scientist,M,36-40,2,BSc,4.4,0.7817,0.509,0.784,0.6192,0.6727,1.0,0.5215,0.7104,0.6686,0.6853,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00020,Data_Scientist,Data Scientist,F,31-35,2,BSc,1.7,0.9924,0.6336,0.661,0.4468,0.7569,0.68,0.4858,0.6254,0.6099,0.6161,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00021,Data_Scientist,Data Scientist,M,26-30,3,MSc,4.4,0.8668,0.6556,0.7135,0.6049,0.8267,1.0,0.5817,0.7807,0.6744,0.7169,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00022,Data_Scientist,Data Scientist,F,26-30,3,MSc,5.8,0.7092,0.6893,0.7193,0.5085,0.7637,1.0,0.5569,0.7519,0.6681,0.7016,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00023,Data_Scientist,Data Scientist,F,26-30,4,PhD,2.0,0.9235,0.7658,0.6195,0.2646,0.9694,0.8,0.5387,0.7463,0.5924,0.654,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00024,Data_Scientist,Data Scientist,F,22-25,3,MSc,9.4,0.6297,0.7677,0.8682,0.8687,0.7319,1.0,0.7005,0.7998,0.8382,0.8228,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00025,Data_Scientist,Data Scientist,M,31-35,3,MSc,4.3,0.6583,0.8298,0.8543,0.6947,0.7433,1.0,0.9155,0.8892,0.815,0.8447,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00026,Data_Scientist,Data Scientist,F,22-25,3,MSc,5.0,0.8716,0.7489,0.6791,0.4997,0.8286,1.0,0.7806,0.8608,0.6641,0.7428,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00027,Data_Scientist,Data Scientist,F,36-40,3,MSc,2.7,0.8942,0.6142,0.4522,0.5121,0.8377,1.0,0.5524,0.7723,0.5128,0.6166,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00028,Data_Scientist,Data Scientist,M,22-25,2,BSc,0.2,1.0,0.6188,0.6482,0.6071,0.76,0.08,0.6823,0.5249,0.6312,0.5887,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00029,Data_Scientist,Data Scientist,M,31-35,2,BSc,2.8,0.6284,0.7188,0.6695,0.6825,0.6113,1.0,0.5114,0.6879,0.6869,0.6873,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00030,Data_Scientist,Data Scientist,M,26-30,3,MSc,1.1,0.8778,0.7554,0.4186,0.3724,0.8311,0.44,0.5368,0.5961,0.5104,0.5447,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00031,Data_Scientist,Data Scientist,M,22-25,3,MSc,4.9,0.6289,0.8603,0.8236,0.8319,0.7315,1.0,0.6952,0.7975,0.8363,0.8208,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00032,Data_Scientist,Data Scientist,M,31-35,2,BSc,6.6,0.8139,0.5443,0.8618,0.6103,0.6856,1.0,0.4805,0.6979,0.7162,0.7089,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00033,Data_Scientist,Data Scientist,F,26-30,3,MSc,5.0,0.6427,0.7512,0.6294,0.6538,0.7371,1.0,0.6981,0.8004,0.6708,0.7226,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00034,Data_Scientist,Data Scientist,M,22-25,2,BSc,3.0,0.9227,0.6583,0.5463,0.5209,0.7291,1.0,0.4914,0.7153,0.5748,0.631,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00035,Data_Scientist,Data Scientist,F,31-35,3,MSc,1.5,0.7168,0.7271,0.6631,0.4635,0.7667,0.6,0.6725,0.679,0.6424,0.657,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00036,Data_Scientist,Data Scientist,F,26-30,4,PhD,2.5,0.8405,0.5774,0.6096,0.5994,0.9362,1.0,0.7071,0.8637,0.5979,0.7042,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00037,Data_Scientist,Data Scientist,M,26-30,4,PhD,1.5,0.6733,0.6882,0.7296,0.487,0.8693,0.6,0.5944,0.6785,0.6687,0.6726,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00038,Data_Scientist,Data Scientist,F,40+,2,BSc,2.8,0.8579,0.672,0.4069,0.4664,0.7032,1.0,0.4575,0.694,0.4983,0.5766,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00039,Data_Scientist,Data Scientist,F,26-30,4,PhD,3.2,0.7418,0.4033,0.8351,0.5397,0.8967,1.0,0.7384,0.8644,0.6465,0.7337,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00040,Data_Scientist,Data Scientist,F,36-40,3,MSc,3.8,0.9427,0.7781,0.4707,0.4919,0.8571,1.0,0.5752,0.7872,0.5672,0.6552,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00041,Data_Scientist,Data Scientist,M,26-30,4,PhD,2.2,0.769,0.7125,0.5983,0.5365,0.9076,0.88,0.5612,0.7608,0.6202,0.6764,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00042,Data_Scientist,Data Scientist,M,26-30,3,MSc,2.5,1.0,0.5429,0.4749,0.5362,0.88,1.0,0.4649,0.75,0.5076,0.6046,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00043,Data_Scientist,Data Scientist,M,36-40,4,PhD,3.2,1.0,0.7572,0.63,0.7217,1.0,1.0,0.7175,0.887,0.6865,0.7667,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00044,Data_Scientist,Data Scientist,M,31-35,3,MSc,5.2,0.7832,0.6138,0.6097,0.4395,0.7933,1.0,0.8301,0.87,0.5769,0.6941,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00045,Data_Scientist,Data Scientist,F,22-25,2,BSc,5.7,0.5433,0.676,0.6679,0.7068,0.5773,1.0,0.6968,0.7519,0.6781,0.7076,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00046,Data_Scientist,Data Scientist,F,40+,2,BSc,0.0,0.7936,0.5679,0.5921,0.4652,0.6774,0.0,0.3855,0.3574,0.5594,0.4786,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00047,Data_Scientist,Data Scientist,M,22-25,3,MSc,5.3,0.7229,0.6406,0.7524,0.5347,0.7692,1.0,0.5099,0.7347,0.6753,0.6991,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00048,Data_Scientist,Data Scientist,M,31-35,2,BSc,2.7,0.4734,0.5282,0.6286,0.4003,0.5493,1.0,0.5136,0.6702,0.5528,0.5998,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00049,Data_Scientist,Data Scientist,M,36-40,4,PhD,3.2,0.4731,0.6446,0.4713,0.6817,0.7893,1.0,0.4892,0.7325,0.5654,0.6322,1,0,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00050,Data_Scientist,Data Scientist,M,22-25,3,MSc,3.4,0.9458,0.7119,0.6127,0.5495,0.8583,1.0,0.673,0.8267,0.6298,0.7086,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00051,Data_Scientist,Data Scientist,M,22-25,3,MSc,3.9,0.8873,0.7193,0.9503,0.8075,0.8349,1.0,0.7236,0.8399,0.8524,0.8474,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00052,Data_Scientist,Data Scientist,M,26-30,3,MSc,5.5,0.9759,0.6678,0.587,0.6288,0.8704,1.0,0.5986,0.8005,0.6196,0.692,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00053,Data_Scientist,Data Scientist,F,26-30,2,BSc,3.5,0.9722,0.6476,0.7451,0.7443,0.7489,1.0,0.7129,0.8098,0.7157,0.7533,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00054,Data_Scientist,Data Scientist,M,26-30,3,MSc,2.8,0.71,0.8596,0.6289,0.5923,0.764,1.0,0.5996,0.769,0.6908,0.7221,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00055,Data_Scientist,Data Scientist,F,26-30,3,MSc,5.9,0.9251,0.7819,0.8085,0.6774,0.85,1.0,0.6869,0.8298,0.7743,0.7965,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00056,Data_Scientist,Data Scientist,F,26-30,2,BSc,2.7,0.893,0.8612,0.6827,0.3966,0.7172,1.0,0.5365,0.7298,0.679,0.6993,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00057,Data_Scientist,Data Scientist,M,26-30,3,MSc,6.7,0.7231,0.8057,0.8716,0.7418,0.7692,1.0,0.7594,0.8345,0.8259,0.8293,1,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00058,Data_Scientist,Data Scientist,F,36-40,2,BSc,1.4,0.3956,0.6364,0.6158,0.6254,0.5182,0.56,0.5287,0.535,0.6239,0.5883,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00059,Data_Scientist,Data Scientist,F,36-40,3,MSc,2.7,0.7955,0.6755,0.5864,0.7746,0.7982,1.0,0.671,0.8079,0.6508,0.7136,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00060,Data_Scientist,Data Scientist,M,26-30,1,Diploma,2.0,0.6274,0.5933,0.5365,0.4847,0.491,0.8,0.6224,0.6363,0.5432,0.5804,0,0,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00061,Data_Scientist,Data Scientist,M,36-40,2,BSc,3.1,0.6597,0.8427,0.7214,0.7704,0.6239,1.0,0.6297,0.7391,0.7676,0.7562,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00062,Data_Scientist,Data Scientist,M,22-25,4,PhD,1.4,0.7605,0.7793,0.7886,0.7522,0.9042,0.56,0.4801,0.6313,0.7785,0.7196,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00063,Data_Scientist,Data Scientist,M,36-40,2,BSc,6.9,0.426,0.7972,0.9964,0.588,0.5304,1.0,0.8011,0.7796,0.855,0.8248,0,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00064,Data_Scientist,Data Scientist,M,36-40,3,MSc,3.4,0.5769,0.8132,0.6725,0.7224,0.7107,1.0,0.6411,0.7696,0.7247,0.7427,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00065,Data_Scientist,Data Scientist,M,22-25,3,MSc,4.3,0.7447,0.8067,0.7129,0.7661,0.7779,1.0,0.8922,0.8902,0.7517,0.8071,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00066,Data_Scientist,Data Scientist,F,22-25,3,MSc,2.8,0.7276,0.471,0.5435,0.5889,0.771,1.0,0.5024,0.7323,0.5308,0.6114,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00067,Data_Scientist,Data Scientist,M,22-25,3,MSc,5.2,1.0,0.8079,0.65,0.8343,0.88,1.0,0.5673,0.7909,0.7342,0.7569,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00068,Data_Scientist,Data Scientist,M,31-35,1,Diploma,5.9,0.9356,0.6057,0.6145,0.6765,0.6143,1.0,0.5436,0.7017,0.6242,0.6552,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00069,Data_Scientist,Data Scientist,M,26-30,4,PhD,0.6,0.9062,0.7086,0.8156,0.4976,0.9625,0.24,0.6703,0.6289,0.7199,0.6835,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00070,Data_Scientist,Data Scientist,F,26-30,2,BSc,5.3,0.7553,0.8826,0.8636,0.6896,0.6621,1.0,0.7131,0.7839,0.8345,0.8143,0,3,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00071,Data_Scientist,Data Scientist,M,26-30,2,BSc,1.6,0.5843,0.6743,0.8492,0.4827,0.5937,0.64,0.5498,0.59,0.7235,0.6701,0,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00072,Data_Scientist,Data Scientist,M,26-30,3,MSc,4.2,0.9133,0.7179,0.5798,0.7231,0.8453,1.0,0.5507,0.7739,0.6499,0.6995,1,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00073,Data_Scientist,Data Scientist,F,31-35,3,MSc,2.9,0.5753,0.8088,0.6659,0.7261,0.7101,1.0,0.782,0.8258,0.7208,0.7628,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00074,Data_Scientist,Data Scientist,F,26-30,3,MSc,5.0,0.536,0.8501,0.8717,0.7637,0.6944,1.0,0.5911,0.7448,0.8436,0.8041,1,2,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
DS00075,Data_Scientist,Data Scientist,F,22-25,4,PhD,0.1,0.7686,0.5548,0.5543,0.6543,0.9075,0.04,0.5892,0.5199,0.5744,0.5526,0,1,0.3,0.3,0.4,0.3,0.5,0.2,0.4,0.6
