candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
DB00001,Database_Administrator,Database Administrator,M,26-30,1,Diploma,3.0,0.5462,0.6045,0.5857,0.7192,0.4585,1.0,0.5732,0.721,0.6381,0.6713,0,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00002,Database_Administrator,Database Administrator,F,22-25,3,MSc,5.1,0.6781,0.8458,0.7887,0.549,0.7513,1.0,0.7055,0.8325,0.722,0.7662,1,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00003,Database_Administrator,Database Administrator,M,22-25,2,BSc,8.3,0.7692,0.567,0.5375,0.63,0.6677,1.0,0.6755,0.8038,0.5787,0.6687,1,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00004,Database_Administrator,Database Administrator,M,22-25,2,BSc,3.2,0.7531,0.5664,0.5144,0.8891,0.6613,1.0,0.6363,0.7868,0.6612,0.7114,1,1,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00005,Database_Administrator,Database Administrator,F,31-35,3,MSc,8.2,0.6316,0.609,0.7387,0.7762,0.7326,1.0,0.6441,0.8041,0.7129,0.7494,1,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00006,Database_Administrator,Database Administrator,F,22-25,2,BSc,0.0,0.7068,0.793,0.4623,0.6737,0.6427,0.0,0.4172,0.2954,0.6355,0.4995,0,1,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00007,Database_Administrator,Database Administrator,M,26-30,3,MSc,1.7,0.8619,0.5677,0.638,0.8243,0.8247,0.5667,0.6983,0.671,0.6821,0.6777,1,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00008,Database_Administrator,Database Administrator,M,40+,2,BSc,4.6,0.7798,0.5942,0.6142,0.5757,0.6719,1.0,0.7295,0.8262,0.5948,0.6874,1,2,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00009,Database_Administrator,Database Administrator,M,26-30,2,BSc,6.4,0.4911,0.7584,0.7126,0.8109,0.5564,1.0,0.7544,0.8131,0.7607,0.7817,1,3,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
DB00010,Database_Administrator,Database Administrator,F,31-35,4,PhD,2.2,0.5303,0.7607,0.6929,0.7674,0.8121,0.7333,0.7034,0.7371,0.7393,0.7384,1,3,0.2,0.4,0.4,0.3,0.35,0.35,0.4,0.6
