candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
DO00001,DevOps_Engineer,DevOps Engineer,M,22-25,2,BSc,10.4,0.2991,0.6561,0.6793,0.7854,0.4796,1.0,0.7754,0.8209,0.7212,0.7611,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00002,DevOps_Engineer,DevOps Engineer,F,31-35,3,MSc,4.4,0.3613,0.5461,0.5514,0.6904,0.6245,1.0,0.6158,0.7708,0.6126,0.6759,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00003,DevOps_Engineer,DevOps Engineer,F,26-30,3,MSc,6.2,0.542,0.7674,0.5622,0.8208,0.6968,1.0,0.7838,0.8573,0.7298,0.7808,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00004,DevOps_Engineer,DevOps Engineer,F,31-35,4,PhD,0.7,0.6536,0.5731,0.3834,0.6193,0.8614,0.175,0.5706,0.456,0.537,0.5046,0,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00005,DevOps_Engineer,DevOps Engineer,M,26-30,3,MSc,4.8,0.5022,0.7041,0.7475,0.883,0.6809,1.0,0.6751,0.8059,0.7976,0.8009,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00006,DevOps_Engineer,DevOps Engineer,M,26-30,2,BSc,4.1,0.675,0.642,0.4923,0.5668,0.63,1.0,0.503,0.7209,0.5632,0.6263,1,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00007,DevOps_Engineer,DevOps Engineer,M,26-30,2,BSc,3.0,0.7385,0.5117,0.7799,0.682,0.6554,0.75,0.5419,0.6422,0.6688,0.6582,1,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00008,DevOps_Engineer,DevOps Engineer,M,26-30,2,BSc,10.5,0.6385,0.7316,0.7056,0.9731,0.6154,1.0,0.7631,0.8357,0.8325,0.8338,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00009,DevOps_Engineer,DevOps Engineer,M,26-30,2,BSc,7.4,0.4969,0.5538,0.8042,0.9197,0.5588,1.0,0.6656,0.7834,0.7936,0.7895,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00010,DevOps_Engineer,DevOps Engineer,F,26-30,4,PhD,2.4,0.3046,0.7839,0.5918,0.6026,0.7219,0.6,0.6816,0.655,0.6447,0.6488,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00011,DevOps_Engineer,DevOps Engineer,M,40+,2,BSc,8.5,0.6741,0.8173,0.8212,0.7694,0.6297,1.0,0.7942,0.8519,0.7969,0.8189,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00012,DevOps_Engineer,DevOps Engineer,F,31-35,4,PhD,6.2,0.6734,0.7924,0.8919,0.7983,0.8694,1.0,1.0,0.9804,0.8249,0.8871,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00013,DevOps_Engineer,DevOps Engineer,F,31-35,4,PhD,7.2,0.4841,0.7132,0.8166,0.7802,0.7937,1.0,0.5388,0.7615,0.7744,0.7692,1,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00014,DevOps_Engineer,DevOps Engineer,M,22-25,2,BSc,5.8,0.5392,0.668,0.6539,0.7341,0.5757,1.0,0.7291,0.8145,0.6935,0.7419,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
DO00015,DevOps_Engineer,DevOps Engineer,M,40+,1,Diploma,3.0,0.532,0.557,0.6036,0.7397,0.4528,0.75,0.5138,0.5991,0.6532,0.6316,0,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
