candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
EMB00001,Embedded_Systems_Engineer,Embedded Systems Engineer,F,36-40,4,PhD,6.0,0.86,0.9684,1.0,0.9538,0.944,1.0,0.906,0.9465,0.9713,0.9614,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00002,Embedded_Systems_Engineer,Embedded Systems Engineer,M,36-40,2,BSc,1.7,0.766,0.6773,0.9783,0.6323,0.6664,0.5667,0.7323,0.6612,0.7473,0.7129,1,2,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00003,Embedded_Systems_Engineer,Embedded Systems Engineer,M,36-40,3,MSc,0.0,0.773,0.9573,0.8832,1.0,0.7892,0.0,0.7975,0.5167,0.9543,0.7793,0,0,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00004,Embedded_Systems_Engineer,Embedded Systems Engineer,M,22-25,2,BSc,10.0,0.806,0.7341,1.0,1.0,0.6824,1.0,0.7766,0.8359,0.9335,0.8945,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00005,Embedded_Systems_Engineer,Embedded Systems Engineer,F,36-40,2,BSc,7.3,0.639,0.8415,0.71,1.0,0.6156,1.0,0.7322,0.8026,0.8734,0.8451,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00006,Embedded_Systems_Engineer,Embedded Systems Engineer,M,31-35,2,BSc,3.5,0.684,0.7713,0.7006,0.8472,0.6336,1.0,0.47,0.6882,0.7842,0.7458,1,1,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00007,Embedded_Systems_Engineer,Embedded Systems Engineer,F,22-25,3,MSc,6.0,0.676,0.8159,0.7584,0.8474,0.7504,1.0,1.0,0.9501,0.8128,0.8677,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00008,Embedded_Systems_Engineer,Embedded Systems Engineer,F,26-30,3,MSc,5.5,0.754,0.8436,0.9389,0.9939,0.7816,1.0,0.716,0.8285,0.9398,0.8953,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00009,Embedded_Systems_Engineer,Embedded Systems Engineer,M,22-25,2,BSc,3.0,0.54,0.8667,0.7407,0.8059,0.576,1.0,0.7283,0.7929,0.8015,0.7981,1,3,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
EMB00010,Embedded_Systems_Engineer,Embedded Systems Engineer,F,36-40,2,BSc,5.8,0.8,0.604,0.8946,0.903,0.68,1.0,0.5851,0.7493,0.8257,0.7951,1,2,0.2,0.35,0.45,0.25,0.3,0.45,0.4,0.6
