candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
FE00001,Frontend_Developer,Frontend Developer,M,40+,2,BSc,1.2,0.8216,0.6043,0.5147,0.4202,0.6887,0.6,0.8225,0.7357,0.4854,0.5855,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00002,Frontend_Developer,Frontend Developer,M,31-35,1,Diploma,3.6,0.809,0.471,0.5894,0.8616,0.5636,1.0,0.6186,0.7248,0.7018,0.711,0,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00003,Frontend_Developer,Frontend Developer,M,22-25,3,MSc,4.0,0.5817,0.8696,0.4287,1.0,0.7127,1.0,0.5722,0.7216,0.8025,0.7701,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00004,Frontend_Developer,Frontend Developer,F,26-30,2,BSc,6.4,0.7669,0.5378,0.7504,0.7235,0.6668,1.0,0.4759,0.6618,0.6944,0.6814,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00005,Frontend_Developer,Frontend Developer,F,40+,2,BSc,0.0,0.5769,0.628,0.4731,0.4601,0.5908,0.0,0.5499,0.3911,0.4976,0.455,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00006,Frontend_Developer,Frontend Developer,M,22-25,2,BSc,1.3,0.7229,0.7662,0.4726,0.678,0.6491,0.65,0.5051,0.5702,0.634,0.6085,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00007,Frontend_Developer,Frontend Developer,M,31-35,3,MSc,3.3,0.5987,0.7922,0.6186,0.7878,0.7195,1.0,0.6217,0.7498,0.7379,0.7427,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00008,Frontend_Developer,Frontend Developer,M,31-35,2,BSc,3.1,0.5814,0.5875,0.4191,0.6836,0.5926,1.0,0.7014,0.7747,0.585,0.6609,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00009,Frontend_Developer,Frontend Developer,F,31-35,3,MSc,3.3,0.7521,0.5143,0.4765,0.6369,0.7808,1.0,0.7309,0.8191,0.5643,0.6662,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FE00010,Frontend_Developer,Frontend Developer,M,31-35,2,BSc,2.9,0.5997,0.6064,0.5237,0.6496,0.5999,1.0,0.8235,0.8429,0.6032,0.6991,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
