candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
FS00001,Full_Stack_Developer,Full Stack Developer,M,40+,3,MSc,1.3,0.6746,0.7961,0.5253,0.6133,0.7499,0.4333,0.6635,0.6074,0.6235,0.6171,0,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00002,Full_Stack_Developer,Full Stack Developer,M,26-30,2,BSc,0.1,0.5213,0.638,0.3989,0.3922,0.5685,0.0333,0.4485,0.3419,0.4433,0.4027,0,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00003,Full_Stack_Developer,Full Stack Developer,M,31-35,2,BSc,8.6,0.6552,0.6469,0.6993,0.9747,0.6221,1.0,0.7547,0.8084,0.8265,0.8193,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00004,Full_Stack_Developer,Full Stack Developer,M,31-35,2,BSc,3.5,0.4519,0.5709,0.6901,0.4897,0.5408,1.0,0.7367,0.7863,0.5661,0.6542,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00005,Full_Stack_Developer,Full Stack Developer,M,22-25,4,PhD,3.9,0.7834,0.5407,0.7277,0.6588,0.9134,1.0,0.5969,0.7653,0.6559,0.6997,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00006,Full_Stack_Developer,Full Stack Developer,M,26-30,2,BSc,4.1,0.5461,0.7038,0.7552,0.8253,0.5784,1.0,0.5688,0.6996,0.78,0.7478,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00007,Full_Stack_Developer,Full Stack Developer,F,22-25,2,BSc,0.5,0.754,0.598,0.6887,0.5026,0.6616,0.1667,0.5567,0.4554,0.5775,0.5287,0,0,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00008,Full_Stack_Developer,Full Stack Developer,F,36-40,2,BSc,4.2,0.5097,0.8344,0.6649,0.9504,0.5639,1.0,0.6954,0.767,0.8416,0.8118,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00009,Full_Stack_Developer,Full Stack Developer,M,26-30,1,Diploma,0.7,0.7159,0.6462,0.5149,0.4508,0.5264,0.2333,0.6544,0.5089,0.5091,0.509,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00010,Full_Stack_Developer,Full Stack Developer,F,22-25,1,Diploma,1.9,0.4998,0.6848,0.5495,0.747,0.4399,0.6333,0.6798,0.6299,0.6753,0.6571,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00011,Full_Stack_Developer,Full Stack Developer,F,26-30,3,MSc,2.9,0.7242,0.6486,0.7748,0.6693,0.7697,0.9667,0.6312,0.7526,0.6968,0.7191,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00012,Full_Stack_Developer,Full Stack Developer,F,22-25,2,BSc,0.7,0.5411,0.554,0.5278,0.6714,0.5764,0.2333,0.5409,0.4539,0.6048,0.5444,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00013,Full_Stack_Developer,Full Stack Developer,M,31-35,2,BSc,3.5,0.3657,0.5255,0.6136,0.6155,0.5063,1.0,0.5093,0.6561,0.5969,0.6206,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00014,Full_Stack_Developer,Full Stack Developer,M,22-25,2,BSc,3.1,0.6422,0.5429,0.7621,0.7978,0.6169,1.0,0.6258,0.7367,0.7361,0.7363,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00015,Full_Stack_Developer,Full Stack Developer,M,31-35,2,BSc,6.3,0.7949,0.6562,0.6273,0.88,0.678,1.0,0.5883,0.7253,0.7594,0.7458,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00016,Full_Stack_Developer,Full Stack Developer,M,22-25,2,BSc,0.4,0.6096,0.6539,0.4043,0.784,0.6038,0.1333,0.4485,0.3772,0.6441,0.5373,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00017,Full_Stack_Developer,Full Stack Developer,F,22-25,2,BSc,2.8,0.6779,0.7494,0.8165,1.0,0.6311,0.9333,0.7493,0.7867,0.8948,0.8516,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00018,Full_Stack_Developer,Full Stack Developer,M,22-25,3,MSc,4.0,0.7395,0.5246,0.6826,0.74,0.7758,1.0,0.5356,0.7109,0.6797,0.6922,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00019,Full_Stack_Developer,Full Stack Developer,F,31-35,2,BSc,4.0,0.7186,0.551,0.7832,0.9063,0.6475,1.0,0.669,0.7651,0.7983,0.785,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00020,Full_Stack_Developer,Full Stack Developer,M,31-35,2,BSc,5.8,0.4851,0.7532,0.833,1.0,0.554,1.0,0.7996,0.8229,0.9005,0.8695,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00021,Full_Stack_Developer,Full Stack Developer,M,26-30,2,BSc,5.3,0.5665,0.7715,1.0,0.8236,0.5866,1.0,0.8191,0.8385,0.8661,0.8551,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00022,Full_Stack_Developer,Full Stack Developer,M,22-25,3,MSc,1.4,0.6975,0.749,0.6377,0.6557,0.759,0.4667,0.6052,0.5867,0.669,0.6361,0,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00023,Full_Stack_Developer,Full Stack Developer,F,36-40,2,BSc,5.6,0.5521,0.5914,0.7505,0.7501,0.5808,1.0,0.5689,0.7,0.7185,0.7111,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00024,Full_Stack_Developer,Full Stack Developer,F,26-30,2,BSc,3.6,0.44,0.733,0.7822,0.8665,0.536,1.0,0.6829,0.756,0.8145,0.7911,1,3,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00025,Full_Stack_Developer,Full Stack Developer,M,26-30,3,MSc,4.1,0.666,0.7899,0.8376,0.7536,0.7464,1.0,0.6889,0.7908,0.7861,0.788,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
FS00026,Full_Stack_Developer,Full Stack Developer,F,31-35,3,MSc,2.9,0.7363,0.6431,0.5464,0.6981,0.7745,0.9667,0.5693,0.7193,0.6416,0.6727,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
