candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
ML00001,Machine_Learning_Engineer,Machine Learning Engineer,M,31-35,2,BSc,3.4,0.7968,0.5109,0.6587,0.5366,0.6787,1.0,0.441,0.6681,0.5729,0.611,0,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00002,Machine_Learning_Engineer,Machine Learning Engineer,F,26-30,4,PhD,3.3,0.9939,0.8841,0.5596,0.6854,0.9976,1.0,0.5924,0.816,0.6911,0.7411,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00003,Machine_Learning_Engineer,Machine Learning Engineer,F,22-25,3,MSc,2.4,0.8721,0.4724,0.4303,0.7387,0.8289,0.8,0.5962,0.7155,0.5642,0.6247,1,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00004,Machine_Learning_Engineer,Machine Learning Engineer,F,26-30,2,BSc,4.4,0.3689,0.5508,0.7188,0.561,0.5075,1.0,0.6459,0.7175,0.6137,0.6552,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00005,Machine_Learning_Engineer,Machine Learning Engineer,F,22-25,3,MSc,3.4,0.7467,0.5976,0.5942,0.5256,0.7787,1.0,0.6056,0.7672,0.5676,0.6474,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00006,Machine_Learning_Engineer,Machine Learning Engineer,M,26-30,3,MSc,3.1,0.8854,0.5821,0.6543,0.795,0.8342,1.0,0.5622,0.7615,0.6925,0.7201,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00007,Machine_Learning_Engineer,Machine Learning Engineer,M,22-25,3,MSc,3.8,0.768,0.6448,0.7338,0.604,0.7872,1.0,0.465,0.7061,0.6596,0.6782,1,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00008,Machine_Learning_Engineer,Machine Learning Engineer,M,26-30,2,BSc,4.5,0.9197,0.5898,0.6609,0.6216,0.7279,1.0,0.4488,0.6839,0.6274,0.65,0,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00009,Machine_Learning_Engineer,Machine Learning Engineer,M,26-30,3,MSc,2.2,0.9414,0.5696,0.7826,0.7852,0.8566,0.7333,0.6572,0.7299,0.7304,0.7302,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00010,Machine_Learning_Engineer,Machine Learning Engineer,F,26-30,2,BSc,3.3,0.8269,0.8194,0.5237,0.7446,0.6908,1.0,0.7851,0.826,0.686,0.742,0,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00011,Machine_Learning_Engineer,Machine Learning Engineer,F,31-35,3,MSc,1.5,0.7758,0.6053,0.6237,0.6046,0.7903,0.5,0.5748,0.6062,0.6114,0.6093,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00012,Machine_Learning_Engineer,Machine Learning Engineer,F,31-35,3,MSc,1.8,0.7428,0.716,0.6073,0.7506,0.7771,0.6,0.7393,0.7069,0.6918,0.6978,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00013,Machine_Learning_Engineer,Machine Learning Engineer,M,36-40,4,PhD,6.4,1.0,0.8209,0.7847,0.9372,1.0,1.0,0.8036,0.9116,0.8547,0.8775,1,3,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00014,Machine_Learning_Engineer,Machine Learning Engineer,F,40+,2,BSc,3.5,0.9175,0.5582,0.7011,0.632,0.727,1.0,0.7899,0.8372,0.6378,0.7176,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00015,Machine_Learning_Engineer,Machine Learning Engineer,F,22-25,3,MSc,3.3,0.8741,0.4574,0.8981,0.6903,0.8296,1.0,0.5391,0.75,0.7048,0.7229,1,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00016,Machine_Learning_Engineer,Machine Learning Engineer,F,26-30,3,MSc,0.0,0.8403,0.8066,0.524,0.6439,0.8161,0.0,0.727,0.5312,0.6426,0.598,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00017,Machine_Learning_Engineer,Machine Learning Engineer,M,26-30,2,BSc,1.9,0.8747,0.4615,0.6545,0.5952,0.7099,0.6333,0.6101,0.642,0.5825,0.6063,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00018,Machine_Learning_Engineer,Machine Learning Engineer,M,26-30,4,PhD,0.5,0.9276,0.7021,0.5841,0.7514,0.971,0.1667,0.8223,0.6628,0.6805,0.6734,0,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00019,Machine_Learning_Engineer,Machine Learning Engineer,M,22-25,3,MSc,5.0,0.9781,0.5383,0.6638,0.7486,0.8713,1.0,0.6764,0.8222,0.6664,0.7287,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00020,Machine_Learning_Engineer,Machine Learning Engineer,M,22-25,3,MSc,3.6,0.5908,0.6883,0.6326,0.7098,0.7163,1.0,0.7283,0.8068,0.6774,0.7292,1,2,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00021,Machine_Learning_Engineer,Machine Learning Engineer,F,26-30,2,BSc,3.0,0.6281,0.6935,0.5997,0.7761,0.6113,1.0,0.6171,0.7305,0.6937,0.7084,0,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
ML00022,Machine_Learning_Engineer,Machine Learning Engineer,M,40+,1,Diploma,3.2,0.7907,0.5655,0.8544,0.7412,0.5563,1.0,0.522,0.674,0.7369,0.7117,0,1,0.25,0.3,0.45,0.25,0.35,0.4,0.4,0.6
