candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
MA00001,Mobile_App_Developer,Mobile App Developer,F,36-40,2,BSc,4.4,0.6786,0.6812,0.6818,0.9174,0.6315,1.0,0.5329,0.6878,0.7994,0.7548,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00002,Mobile_App_Developer,Mobile App Developer,F,26-30,3,MSc,5.2,0.8781,0.8014,0.6768,0.5094,0.8312,1.0,0.663,0.7893,0.618,0.6865,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00003,Mobile_App_Developer,Mobile App Developer,F,22-25,2,BSc,3.7,0.7662,0.6182,0.5943,0.689,0.6665,1.0,0.4178,0.6298,0.6464,0.6398,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00004,Mobile_App_Developer,Mobile App Developer,M,31-35,2,BSc,3.0,0.4636,0.7563,0.4617,0.6509,0.5454,1.0,0.454,0.6315,0.6152,0.6217,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00005,Mobile_App_Developer,Mobile App Developer,F,22-25,2,BSc,0.4,0.5418,0.7115,0.3754,0.5286,0.5767,0.16,0.7571,0.5509,0.5192,0.5319,0,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00006,Mobile_App_Developer,Mobile App Developer,M,26-30,3,MSc,0.6,0.6413,0.6805,0.6644,0.676,0.7365,0.24,0.5977,0.5112,0.6735,0.6086,0,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00007,Mobile_App_Developer,Mobile App Developer,M,22-25,2,BSc,2.8,0.797,0.5801,0.4317,0.5569,0.6788,1.0,0.5058,0.68,0.524,0.5864,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00008,Mobile_App_Developer,Mobile App Developer,M,22-25,2,BSc,4.3,0.2073,0.719,0.7277,0.5061,0.4429,1.0,0.7188,0.7618,0.6151,0.6738,1,1,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00009,Mobile_App_Developer,Mobile App Developer,M,31-35,2,BSc,1.5,0.7615,0.6562,0.5258,0.5168,0.6646,0.6,0.749,0.6916,0.5474,0.6051,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
MA00010,Mobile_App_Developer,Mobile App Developer,M,26-30,3,MSc,3.2,0.5635,0.8172,0.5867,0.8106,0.7054,1.0,0.6654,0.7718,0.7448,0.7556,1,2,0.15,0.3,0.55,0.2,0.3,0.5,0.4,0.6
