candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
NET00001,Network_Engineer,Network Engineer,M,36-40,1,Diploma,0.0,0.659,0.8294,0.7727,0.4965,0.5036,0.0,0.6769,0.4053,0.7069,0.5863,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00002,Network_Engineer,Network Engineer,F,26-30,3,MSc,0.0,0.703,0.9822,0.7089,0.7256,0.7612,0.0,0.7102,0.4718,0.7959,0.6663,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00003,Network_Engineer,Network Engineer,F,36-40,2,BSc,4.0,0.669,1.0,0.9013,1.0,0.6276,1.0,0.6545,0.77,0.9605,0.8843,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00004,Network_Engineer,Network Engineer,M,22-25,3,MSc,4.5,0.906,0.7566,1.0,0.8741,0.8424,1.0,0.8632,0.9069,0.8892,0.8963,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00005,Network_Engineer,Network Engineer,F,31-35,3,MSc,2.7,1.0,0.7828,0.9332,0.5387,0.88,0.9,0.8424,0.8701,0.7697,0.8099,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00006,Network_Engineer,Network Engineer,F,31-35,2,BSc,8.6,0.88,0.9567,0.9176,0.8945,0.712,1.0,0.778,0.8425,0.9224,0.8904,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00007,Network_Engineer,Network Engineer,F,31-35,2,BSc,5.7,0.829,0.795,0.8592,0.8118,0.6916,1.0,0.7068,0.8064,0.8257,0.818,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00008,Network_Engineer,Network Engineer,M,36-40,3,MSc,3.9,0.816,1.0,0.9502,1.0,0.8064,1.0,1.0,0.9613,0.9801,0.9726,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00009,Network_Engineer,Network Engineer,M,26-30,1,Diploma,8.7,0.702,0.8419,0.8699,1.0,0.5208,1.0,0.8087,0.8181,0.9005,0.8675,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00010,Network_Engineer,Network Engineer,F,41-45,2,BSc,5.4,0.611,0.8587,0.7865,0.9364,0.6044,1.0,0.6567,0.7664,0.8531,0.8184,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00011,Network_Engineer,Network Engineer,M,31-35,2,BSc,3.9,0.618,1.0,0.8112,0.6825,0.6072,1.0,0.7731,0.8193,0.8292,0.8252,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00012,Network_Engineer,Network Engineer,M,22-25,2,BSc,9.7,0.601,0.9065,0.7812,0.8102,0.6004,1.0,0.9006,0.8753,0.8275,0.8466,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00013,Network_Engineer,Network Engineer,F,31-35,3,MSc,1.7,0.672,0.8543,0.8783,0.9443,0.7488,0.5667,0.8486,0.73,0.8909,0.8265,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00014,Network_Engineer,Network Engineer,F,31-35,2,BSc,8.6,0.628,1.0,0.9646,0.7681,0.6112,1.0,0.8273,0.8445,0.9163,0.8876,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00015,Network_Engineer,Network Engineer,M,46+,2,BSc,3.5,0.549,1.0,0.7539,0.9022,0.5796,1.0,0.9185,0.8792,0.8722,0.875,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00016,Network_Engineer,Network Engineer,M,36-40,2,BSc,3.0,0.568,0.7415,0.93,0.6829,0.5872,1.0,0.8102,0.832,0.7993,0.8124,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00017,Network_Engineer,Network Engineer,M,22-25,3,MSc,5.2,0.621,0.7577,0.8238,1.0,0.7284,1.0,0.7922,0.8522,0.8568,0.855,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00018,Network_Engineer,Network Engineer,F,31-35,2,BSc,0.0,0.662,0.9118,0.7967,0.8302,0.6248,0.0,0.701,0.4404,0.8413,0.6809,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00019,Network_Engineer,Network Engineer,M,31-35,2,BSc,2.4,0.648,0.9359,0.8228,0.8119,0.6192,0.8,0.9156,0.8159,0.8535,0.8385,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00020,Network_Engineer,Network Engineer,M,26-30,3,MSc,2.3,0.709,0.7881,0.7583,0.8048,0.7636,0.7667,0.8208,0.7904,0.7812,0.7849,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00021,Network_Engineer,Network Engineer,F,36-40,3,MSc,4.2,0.818,0.845,0.96,0.8307,0.8072,1.0,0.6457,0.802,0.8867,0.8528,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00022,Network_Engineer,Network Engineer,F,22-25,3,MSc,7.2,0.77,1.0,0.8801,1.0,0.788,1.0,1.0,0.9576,0.952,0.9542,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00023,Network_Engineer,Network Engineer,M,31-35,2,BSc,1.5,0.728,0.7967,0.6969,0.6727,0.6512,0.5,0.6667,0.6053,0.7196,0.6739,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00024,Network_Engineer,Network Engineer,M,22-25,3,MSc,4.1,0.806,0.8097,0.7537,0.8894,0.8024,1.0,0.7821,0.8624,0.8112,0.8317,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00025,Network_Engineer,Network Engineer,M,31-35,3,MSc,4.9,0.765,0.7715,0.8192,0.9817,0.786,1.0,0.9194,0.9209,0.8536,0.8805,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00026,Network_Engineer,Network Engineer,F,31-35,3,MSc,6.9,0.796,1.0,0.9281,0.96,0.7984,1.0,1.0,0.9597,0.9592,0.9594,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00027,Network_Engineer,Network Engineer,F,41-45,3,MSc,0.5,0.573,0.8578,0.5436,0.7666,0.7092,0.1667,0.6865,0.5091,0.7048,0.6265,0,1,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00028,Network_Engineer,Network Engineer,M,26-30,2,BSc,6.1,0.674,0.9449,0.6934,0.9782,0.6296,1.0,0.8323,0.8505,0.8543,0.8528,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00029,Network_Engineer,Network Engineer,F,36-40,2,BSc,2.8,0.787,0.6539,1.0,0.9412,0.6748,0.9333,0.6114,0.7367,0.8785,0.8218,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00030,Network_Engineer,Network Engineer,M,22-25,2,BSc,2.0,0.653,0.9583,0.7953,0.7141,0.6212,0.6667,0.7453,0.693,0.8198,0.7691,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00031,Network_Engineer,Network Engineer,F,26-30,1,Diploma,4.3,0.446,0.7524,0.8914,1.0,0.4184,1.0,0.8655,0.8232,0.8823,0.8587,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00032,Network_Engineer,Network Engineer,M,36-40,2,BSc,3.0,0.787,0.9638,0.8947,0.6819,0.6748,1.0,0.6688,0.7859,0.8516,0.8253,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00033,Network_Engineer,Network Engineer,M,41-45,2,BSc,2.3,0.646,0.733,0.726,0.7846,0.6184,0.7667,0.5312,0.6311,0.7457,0.6999,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00034,Network_Engineer,Network Engineer,F,26-30,3,MSc,4.3,0.728,0.8506,0.7783,0.8937,0.7712,1.0,0.7064,0.8221,0.8346,0.8296,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00035,Network_Engineer,Network Engineer,M,36-40,2,BSc,4.1,0.597,0.905,0.784,0.6118,0.5988,1.0,0.8223,0.8398,0.7686,0.7971,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00036,Network_Engineer,Network Engineer,M,26-30,1,Diploma,9.7,0.413,0.7202,0.9335,1.0,0.4052,1.0,0.8443,0.811,0.8895,0.8581,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00037,Network_Engineer,Network Engineer,M,36-40,2,BSc,4.5,0.538,0.889,0.7605,0.7939,0.5752,1.0,0.8211,0.8345,0.8091,0.8193,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00038,Network_Engineer,Network Engineer,M,31-35,2,BSc,3.8,0.669,0.903,0.6757,0.9676,0.6276,1.0,0.6059,0.7482,0.8315,0.7982,1,2,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00039,Network_Engineer,Network Engineer,F,26-30,3,MSc,3.9,0.714,1.0,0.8214,0.6325,0.7656,1.0,0.7832,0.8556,0.8183,0.8332,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00040,Network_Engineer,Network Engineer,F,31-35,1,Diploma,1.9,0.569,0.9534,0.8762,0.8466,0.4676,0.6333,0.6086,0.589,0.8905,0.7699,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00041,Network_Engineer,Network Engineer,M,31-35,2,BSc,6.1,0.638,0.7554,1.0,0.987,0.6152,1.0,0.931,0.892,0.9227,0.9104,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00042,Network_Engineer,Network Engineer,M,26-30,1,Diploma,7.4,0.595,0.7208,0.8208,1.0,0.478,1.0,0.6889,0.7556,0.8446,0.809,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00043,Network_Engineer,Network Engineer,F,26-30,2,BSc,0.0,0.668,0.8456,0.808,0.7293,0.6272,0.0,0.519,0.359,0.7957,0.621,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00044,Network_Engineer,Network Engineer,F,31-35,2,BSc,6.6,0.875,0.8709,0.9013,0.7974,0.71,1.0,0.9637,0.9257,0.861,0.8869,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00045,Network_Engineer,Network Engineer,M,31-35,1,Diploma,9.9,0.561,0.7649,0.7714,0.9565,0.4644,1.0,0.7893,0.7981,0.825,0.8142,0,0,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
NET00046,Network_Engineer,Network Engineer,M,26-30,3,MSc,9.8,0.777,0.7625,1.0,0.7456,0.7908,1.0,0.7594,0.8499,0.8524,0.8514,1,3,0.2,0.35,0.45,0.3,0.4,0.3,0.4,0.6
