candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
SIT00001,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,2,BSc,7.3,0.641,0.8009,0.8664,1.0,0.6164,1.0,0.8494,0.8747,0.9101,0.8959,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00002,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,4.3,0.8,0.7936,0.9136,1.0,0.68,1.0,0.7213,0.8266,0.9225,0.8841,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00003,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,2,BSc,3.8,0.787,0.8207,0.8083,0.817,0.6748,0.95,0.796,0.8394,0.8153,0.8249,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00004,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,36-40,2,BSc,0.2,0.66,0.8878,0.8093,0.8614,0.624,0.05,0.7932,0.4705,0.8524,0.6996,0,0,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00005,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,36-40,2,BSc,9.1,0.528,0.8401,0.9442,1.0,0.5712,1.0,0.8359,0.8618,0.9433,0.9107,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00006,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,2,BSc,3.2,0.773,0.8171,0.7869,0.8312,0.6692,0.8,0.7372,0.7521,0.8144,0.7895,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00007,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,46+,2,BSc,3.6,0.694,0.7958,0.9274,0.9737,0.6376,0.9,0.8339,0.8309,0.9153,0.8815,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00008,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,22-25,2,BSc,7.1,0.745,0.9669,0.9786,0.835,0.658,1.0,0.9443,0.9236,0.9111,0.9161,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00009,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,4.5,0.625,1.0,0.8992,0.8163,0.61,1.0,0.7138,0.8127,0.8871,0.8573,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00010,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,2,BSc,5.5,0.52,0.9529,0.7473,0.9589,0.568,1.0,0.7325,0.8148,0.8939,0.8623,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00011,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,41-45,2,BSc,9.2,0.718,0.6253,0.8847,1.0,0.6472,1.0,0.8605,0.8843,0.8717,0.8767,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00012,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,46+,3,MSc,3.1,0.749,0.8483,0.8523,0.8681,0.7796,0.775,0.6923,0.7385,0.8584,0.8104,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00013,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,2,BSc,8.1,0.709,0.8114,0.7787,0.9789,0.6436,1.0,0.8946,0.8991,0.877,0.8858,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00014,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,2,BSc,2.8,0.764,0.9331,0.7898,0.8523,0.6656,0.7,0.68,0.6858,0.8538,0.7866,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00015,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,2,BSc,2.3,0.643,0.7475,0.8209,0.9333,0.6172,0.575,0.6894,0.6328,0.8531,0.765,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00016,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,2,BSc,0.0,0.55,0.9372,0.9296,1.0,0.58,0.0,0.8053,0.4494,0.9632,0.7577,0,0,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00017,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,1.0,0.622,0.894,0.8268,0.7563,0.6088,0.25,0.7376,0.5232,0.8119,0.6964,0,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00018,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,9.0,0.684,0.7739,0.9828,1.0,0.6336,1.0,1.0,0.945,0.9383,0.941,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00019,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,2,BSc,2.1,0.754,0.7753,0.7092,0.8423,0.6616,0.525,0.7167,0.6318,0.7856,0.7241,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00020,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,3,MSc,2.5,0.853,1.0,0.9592,1.0,0.8212,0.625,0.9748,0.8118,0.9878,0.9174,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00021,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,3,MSc,1.4,0.936,0.7278,0.8087,1.0,0.8544,0.35,0.8861,0.6669,0.8746,0.7915,0,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00022,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,46+,2,BSc,2.7,0.673,0.6379,0.6288,0.8324,0.6292,0.675,0.6284,0.6472,0.7227,0.6925,1,1,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00023,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,4,PhD,6.4,0.742,0.9498,1.0,0.9615,0.8968,1.0,0.8318,0.9088,0.9701,0.9456,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00024,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,3,MSc,6.8,0.727,0.9082,0.9391,1.0,0.7708,1.0,0.7762,0.8649,0.9588,0.9212,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00025,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,2,BSc,5.4,0.623,0.9435,0.8869,1.0,0.6092,1.0,0.8746,0.885,0.9519,0.9251,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00026,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,46+,2,BSc,5.0,0.694,0.9648,0.8177,1.0,0.6376,1.0,0.9022,0.9016,0.9365,0.9225,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00027,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,2,BSc,6.5,0.835,0.7806,1.0,0.8925,0.694,1.0,0.8366,0.8806,0.8968,0.8903,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00028,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,41-45,3,MSc,5.6,0.733,0.8722,0.9522,0.8375,0.7732,1.0,0.6591,0.8126,0.8806,0.8534,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00029,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,3,MSc,10.3,0.646,0.8283,0.8969,1.0,0.7384,1.0,0.9166,0.9232,0.9261,0.9249,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00030,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,22-25,3,MSc,4.8,0.705,0.7691,1.0,0.7958,0.762,1.0,0.8849,0.9125,0.8504,0.8752,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00031,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,22-25,2,BSc,0.2,0.679,0.8788,0.7854,0.8203,0.6316,0.05,0.6721,0.4172,0.8245,0.6616,0,0,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00032,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,2,BSc,9.7,0.611,0.7817,0.6775,1.0,0.6044,1.0,0.9698,0.9271,0.8487,0.8801,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00033,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,46+,3,MSc,2.3,0.795,0.8376,0.7855,0.9825,0.798,0.575,0.8186,0.7181,0.8872,0.8196,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00034,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,2,BSc,5.4,0.64,0.8697,0.7982,0.8835,0.616,1.0,0.8927,0.8941,0.8545,0.8703,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00035,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,22-25,2,BSc,6.8,0.623,0.8189,0.7686,0.9729,0.6092,1.0,0.7395,0.8242,0.8731,0.8535,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00036,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,36-40,2,BSc,4.2,0.78,0.8986,0.9467,0.7628,0.672,1.0,0.8262,0.8726,0.8519,0.8602,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00037,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,3,MSc,5.5,0.812,0.7019,0.8835,1.0,0.8048,1.0,0.7879,0.8753,0.8905,0.8844,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00038,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,3,MSc,4.8,0.706,0.6803,0.7398,1.0,0.7624,1.0,0.7858,0.868,0.842,0.8524,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00039,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,22-25,2,BSc,5.1,0.791,0.787,0.779,1.0,0.6764,1.0,0.7947,0.8591,0.8804,0.8719,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00040,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,41-45,2,BSc,4.9,0.593,0.7297,0.8666,0.9969,0.5972,1.0,0.6238,0.7703,0.891,0.8427,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00041,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,36-40,2,BSc,6.4,0.663,0.8456,0.8988,0.8906,0.6252,1.0,0.9469,0.9199,0.8818,0.897,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00042,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,36-40,2,BSc,5.2,0.754,0.7965,0.9376,1.0,0.6616,1.0,0.7873,0.8535,0.9304,0.8996,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00043,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,2,BSc,3.9,0.699,0.7469,0.8061,0.9805,0.6396,0.975,0.7411,0.8194,0.8698,0.8496,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00044,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,3,MSc,5.4,0.792,0.6078,0.8271,1.0,0.7968,1.0,0.6534,0.8135,0.8501,0.8355,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00045,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,3,MSc,8.1,0.762,0.9636,0.9004,1.0,0.7848,1.0,0.7131,0.8386,0.961,0.912,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00046,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,46+,2,BSc,8.0,0.639,0.7896,0.9268,1.0,0.6156,1.0,1.0,0.9423,0.9254,0.9322,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00047,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,3,MSc,4.3,0.674,0.9794,0.9697,0.8583,0.7496,1.0,0.9468,0.9385,0.922,0.9286,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00048,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,3,MSc,2.9,0.733,1.0,0.8782,0.9734,0.7732,0.725,0.8576,0.7919,0.9515,0.8877,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00049,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,41-45,4,PhD,0.9,0.722,0.8336,0.6569,0.6633,0.8888,0.225,0.7417,0.5571,0.704,0.6452,0,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00050,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,2,BSc,5.0,0.705,0.9879,0.8931,0.9672,0.642,1.0,0.754,0.8356,0.9501,0.9043,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00051,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,7.7,0.536,0.9209,0.7572,1.0,0.5744,1.0,1.0,0.9362,0.9074,0.9189,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00052,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,2,BSc,6.4,0.785,0.8932,0.9104,0.9419,0.674,1.0,0.774,0.8494,0.9203,0.8919,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00053,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,2,BSc,3.9,0.776,0.653,0.7773,1.0,0.6704,0.975,0.8299,0.864,0.8464,0.8534,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00054,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,2,BSc,3.1,0.772,0.8945,0.8809,0.8289,0.6688,0.775,0.7601,0.7524,0.8609,0.8175,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00055,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,2,BSc,11.1,0.571,0.7706,1.0,1.0,0.5884,1.0,0.8698,0.8797,0.9426,0.9174,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00056,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,41-45,2,BSc,8.6,0.609,0.9475,0.9357,1.0,0.6036,1.0,0.7713,0.8376,0.9676,0.9156,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00057,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,3,MSc,5.2,0.62,0.6865,0.8121,1.0,0.728,1.0,0.8116,0.8744,0.8653,0.8689,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00058,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,2,BSc,7.8,0.848,0.7275,0.8636,0.955,0.6992,1.0,0.8302,0.8785,0.8707,0.8738,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00059,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,3.8,0.561,1.0,0.8961,1.0,0.5844,0.95,0.8891,0.8678,0.9688,0.9284,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00060,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,36-40,2,BSc,5.1,0.686,0.7672,0.8131,1.0,0.6344,1.0,0.7628,0.8384,0.8857,0.8668,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00061,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,26-30,2,BSc,3.7,0.665,1.0,0.8811,1.0,0.626,0.925,0.8865,0.8628,0.9643,0.9237,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00062,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,31-35,2,BSc,1.3,0.76,0.7642,0.7652,0.9001,0.664,0.325,0.8836,0.6272,0.8257,0.7463,0,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00063,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,31-35,2,BSc,4.5,0.71,0.6419,0.8597,1.0,0.644,1.0,0.5902,0.7622,0.8684,0.8259,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00064,Site_Reliability_Engineer,Site Reliability Engineer (SRE),F,22-25,4,PhD,4.4,0.51,0.8465,0.7798,1.0,0.804,1.0,0.7766,0.8701,0.8956,0.8854,1,3,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
SIT00065,Site_Reliability_Engineer,Site Reliability Engineer (SRE),M,26-30,2,BSc,9.2,0.672,0.7111,0.8902,0.9673,0.6288,1.0,0.645,0.7846,0.8801,0.8419,1,2,0.15,0.4,0.45,0.25,0.3,0.45,0.4,0.6
