candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
UI_00001,UI_UX_Designer,UI/UX Designer,F,26-30,2,BSc,1.9,0.559,0.7514,0.9137,0.9546,0.5836,0.95,0.8433,0.818,0.8732,0.8511,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00002,UI_UX_Designer,UI/UX Designer,M,31-35,3,MSc,5.2,0.655,0.9285,0.9151,0.9163,0.742,1.0,0.7572,0.8149,0.9194,0.8776,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00003,UI_UX_Designer,UI/UX Designer,F,26-30,2,BSc,4.3,0.526,0.6726,1.0,0.5722,0.5704,1.0,0.807,0.8079,0.8162,0.8129,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00004,UI_UX_Designer,UI/UX Designer,F,41-45,1,Diploma,1.3,0.735,0.6856,0.7555,0.6618,0.534,0.65,0.6473,0.6253,0.7158,0.6796,0,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00005,UI_UX_Designer,UI/UX Designer,M,26-30,2,BSc,3.5,0.604,0.7586,1.0,0.6296,0.6016,1.0,0.7923,0.8061,0.8535,0.8345,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00006,UI_UX_Designer,UI/UX Designer,F,41-45,2,BSc,2.2,0.848,0.5359,0.9051,0.9141,0.6992,1.0,0.8369,0.8501,0.7961,0.8177,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00007,UI_UX_Designer,UI/UX Designer,F,22-25,2,BSc,5.0,0.676,0.8593,0.8711,0.7946,0.6304,1.0,0.7351,0.7804,0.8523,0.8235,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00008,UI_UX_Designer,UI/UX Designer,M,22-25,2,BSc,3.0,0.581,0.7752,0.8718,0.7113,0.5924,1.0,0.8464,0.834,0.8107,0.82,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00009,UI_UX_Designer,UI/UX Designer,M,22-25,2,BSc,3.3,0.788,0.8485,0.8593,0.7119,0.6752,1.0,0.7999,0.825,0.8266,0.826,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00010,UI_UX_Designer,UI/UX Designer,M,26-30,2,BSc,4.3,0.83,0.7709,0.892,0.7922,0.692,1.0,0.6286,0.7341,0.8357,0.7951,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00011,UI_UX_Designer,UI/UX Designer,M,26-30,3,MSc,1.2,0.771,0.8215,0.9978,0.7722,0.7884,0.6,0.853,0.7768,0.8998,0.8506,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00012,UI_UX_Designer,UI/UX Designer,M,41-45,2,BSc,7.7,0.657,0.6907,0.8649,0.8526,0.6228,1.0,0.8149,0.8228,0.8102,0.8152,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00013,UI_UX_Designer,UI/UX Designer,M,31-35,2,BSc,3.6,0.677,0.8306,0.8468,0.6493,0.6308,1.0,0.7857,0.8083,0.8024,0.8048,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00014,UI_UX_Designer,UI/UX Designer,M,26-30,1,Diploma,2.9,0.536,1.0,0.9651,0.8227,0.4544,1.0,0.775,0.7671,0.9471,0.8751,0,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00015,UI_UX_Designer,UI/UX Designer,M,31-35,2,BSc,1.0,0.653,0.7329,0.8857,0.7521,0.6212,0.5,0.6641,0.6145,0.8131,0.7337,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00016,UI_UX_Designer,UI/UX Designer,F,41-45,2,BSc,0.0,0.537,0.8284,0.918,0.8456,0.5748,0.0,0.8507,0.5828,0.8766,0.7591,0,0,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00017,UI_UX_Designer,UI/UX Designer,M,36-40,2,BSc,3.6,0.811,0.8165,0.9819,0.7761,0.6844,1.0,0.7199,0.7828,0.8911,0.8478,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00018,UI_UX_Designer,UI/UX Designer,M,31-35,3,MSc,2.4,0.648,0.9387,0.6621,0.6322,0.7392,1.0,0.7209,0.7943,0.7391,0.7612,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00019,UI_UX_Designer,UI/UX Designer,F,46+,2,BSc,2.1,0.652,0.779,0.8031,0.7545,0.6208,1.0,0.6012,0.7048,0.7862,0.7536,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00020,UI_UX_Designer,UI/UX Designer,M,22-25,2,BSc,1.6,0.728,0.9466,0.8919,0.7279,0.6512,0.8,0.6682,0.6978,0.8755,0.8044,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00021,UI_UX_Designer,UI/UX Designer,M,26-30,3,MSc,4.8,0.759,0.7641,1.0,0.8853,0.7836,1.0,0.8455,0.8717,0.9063,0.8925,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00022,UI_UX_Designer,UI/UX Designer,M,22-25,3,MSc,4.1,0.804,0.5379,0.8724,0.6229,0.8016,1.0,0.7599,0.8283,0.7221,0.7646,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00023,UI_UX_Designer,UI/UX Designer,M,36-40,2,BSc,9.4,0.786,0.7116,1.0,1.0,0.6744,1.0,0.9071,0.8838,0.9135,0.9016,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00024,UI_UX_Designer,UI/UX Designer,F,31-35,2,BSc,1.3,0.72,0.9136,0.8932,0.729,0.648,0.65,0.8276,0.7473,0.8665,0.8188,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00025,UI_UX_Designer,UI/UX Designer,F,36-40,3,MSc,3.2,0.809,0.7101,0.8322,0.9176,0.8036,1.0,0.5952,0.7381,0.8126,0.7828,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00026,UI_UX_Designer,UI/UX Designer,F,22-25,3,MSc,1.2,0.757,0.8306,1.0,0.7544,0.7828,0.6,0.7857,0.7387,0.9001,0.8355,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00027,UI_UX_Designer,UI/UX Designer,M,36-40,2,BSc,1.6,0.719,0.8026,0.8726,0.7076,0.6476,0.8,0.7071,0.7184,0.8186,0.7785,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00028,UI_UX_Designer,UI/UX Designer,F,22-25,4,PhD,3.5,0.813,0.8429,1.0,1.0,0.9252,1.0,0.9217,0.942,0.9529,0.9485,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00029,UI_UX_Designer,UI/UX Designer,F,26-30,1,Diploma,5.6,0.445,0.8486,0.993,0.8924,0.418,1.0,0.7385,0.7398,0.9296,0.8537,0,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00030,UI_UX_Designer,UI/UX Designer,M,26-30,1,Diploma,2.0,0.492,0.7546,0.9653,0.7088,0.4368,1.0,0.7504,0.7501,0.8508,0.8105,0,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00031,UI_UX_Designer,UI/UX Designer,M,22-25,2,BSc,5.0,0.712,0.8504,0.823,0.81,0.6448,1.0,0.5685,0.6916,0.8286,0.7738,1,1,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00032,UI_UX_Designer,UI/UX Designer,M,26-30,2,BSc,6.7,0.837,0.6349,0.9075,0.9138,0.6948,1.0,0.8302,0.8456,0.827,0.8344,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00033,UI_UX_Designer,UI/UX Designer,F,31-35,3,MSc,5.7,0.82,0.7544,1.0,0.8754,0.808,1.0,0.8942,0.9034,0.9014,0.9022,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00034,UI_UX_Designer,UI/UX Designer,F,26-30,3,MSc,6.2,0.738,1.0,1.0,0.9199,0.7752,1.0,0.8873,0.8931,0.984,0.9476,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00035,UI_UX_Designer,UI/UX Designer,M,26-30,1,Diploma,3.2,0.318,0.8017,1.0,0.6882,0.3672,1.0,0.6966,0.7066,0.8781,0.8095,0,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00036,UI_UX_Designer,UI/UX Designer,M,31-35,2,BSc,3.1,0.774,0.7747,0.7468,0.7659,0.6696,1.0,1.0,0.9339,0.759,0.829,1,2,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00037,UI_UX_Designer,UI/UX Designer,F,41-45,1,Diploma,1.7,0.474,0.9585,0.759,0.7983,0.4296,0.85,0.8304,0.7551,0.8267,0.7981,0,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00038,UI_UX_Designer,UI/UX Designer,M,22-25,3,MSc,7.0,0.579,0.7199,0.9014,0.9176,0.7116,1.0,1.0,0.9423,0.8502,0.887,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00039,UI_UX_Designer,UI/UX Designer,F,41-45,2,BSc,3.5,0.895,0.9168,0.8505,0.6083,0.718,1.0,0.7371,0.799,0.8219,0.8127,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
UI_00040,UI_UX_Designer,UI/UX Designer,F,31-35,2,BSc,3.5,0.686,0.7529,0.8299,0.7301,0.6344,1.0,0.9676,0.9091,0.7868,0.8357,1,3,0.2,0.25,0.55,0.3,0.5,0.2,0.4,0.6
