candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
CS00001,Cloud_Solutions_Architect,Cloud Solutions Architect,F,40+,3,MSc,3.8,0.7083,0.7041,0.7666,0.6549,0.7633,0.76,0.7088,0.7402,0.7255,0.7314,1,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00002,Cloud_Solutions_Architect,Cloud Solutions Architect,F,31-35,3,MSc,7.6,0.3867,0.6619,0.5653,0.7993,0.6347,1.0,0.6645,0.7928,0.6411,0.7018,1,1,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00003,Cloud_Solutions_Architect,Cloud Solutions Architect,F,26-30,3,MSc,5.6,0.4661,0.7815,0.7028,0.2449,0.6664,1.0,0.6267,0.7839,0.6348,0.6944,1,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00004,Cloud_Solutions_Architect,Cloud Solutions Architect,F,31-35,2,BSc,6.4,0.6036,0.8292,0.7499,0.8525,0.6014,1.0,0.6499,0.7803,0.7942,0.7886,1,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00005,Cloud_Solutions_Architect,Cloud Solutions Architect,F,36-40,3,MSc,8.8,0.5901,0.8608,0.8885,0.6441,0.716,1.0,1.0,0.9432,0.8313,0.8761,1,3,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00006,Cloud_Solutions_Architect,Cloud Solutions Architect,M,31-35,3,MSc,4.2,0.8074,0.8179,0.4678,0.6723,0.803,0.84,0.7337,0.7901,0.6138,0.6843,1,1,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00007,Cloud_Solutions_Architect,Cloud Solutions Architect,F,26-30,3,MSc,3.9,0.3469,0.7586,0.6989,0.6867,0.6188,0.78,0.8065,0.7584,0.7144,0.732,1,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00008,Cloud_Solutions_Architect,Cloud Solutions Architect,M,22-25,1,Diploma,7.7,0.4639,0.7212,1.0,0.728,0.4256,1.0,0.6399,0.7411,0.862,0.8136,0,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00009,Cloud_Solutions_Architect,Cloud Solutions Architect,F,36-40,2,BSc,9.7,0.696,0.6797,0.9356,0.6758,0.6384,1.0,0.8403,0.8638,0.8069,0.8297,1,3,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
CS00010,Cloud_Solutions_Architect,Cloud Solutions Architect,F,26-30,4,PhD,3.0,0.8944,0.7942,0.7779,0.4073,0.9578,0.6,0.6048,0.6735,0.7086,0.6946,1,2,0.2,0.4,0.4,0.3,0.5,0.2,0.4,0.6
