candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
AI_00231,0.973,0.9405,0.0157,0.0009,0.0153,0.0031,-0.0069,0.0044
AI_00088,0.971,0.9405,-0.0028,0.0009,0.0121,0.0087,0.0072,0.0044
AI_00402,0.9709,0.9405,0.0061,0.0009,0.001,0.0111,0.0069,0.0044
AI_00499,0.9681,0.9405,0.0133,0.0009,0.0019,0.0111,0.0018,-0.0014
AI_00390,0.96,0.9405,0.0066,0.0009,0.0145,-0.0032,-0.0038,0.0044
AI_00029,0.9539,0.9405,-0.0049,0.0009,-0.0053,0.0111,0.0072,0.0044
AI_00511,0.9539,0.9405,-0.0071,0.0009,0.0151,0.0016,-0.0015,0.0044
AI_00459,0.9534,0.9405,-0.0063,0.0009,0.0088,0.0111,-0.006,0.0044
AI_00508,0.9518,0.9405,-0.0032,0.0009,0.0127,0.0006,-0.0041,0.0044
AI_00081,0.9506,0.9405,0.0011,0.0009,0.0167,0.0111,-0.01,-0.0097
AI_00392,0.9467,0.9405,0.0162,-0.0151,0.0035,-0.0029,0.0002,0.0044
AI_00252,0.9426,0.9405,0.0093,0.0009,-0.0308,0.0111,0.0072,0.0044
AI_00271,0.9426,0.9405,0.0123,0.0009,-0.0053,-0.0044,-0.0058,0.0044
AI_00428,0.9394,0.9405,0.011,0.0009,-0.0032,0.0033,0.0034,-0.0166
AI_00289,0.9392,0.9405,-0.0023,0.0009,0.0054,-0.0169,0.0072,0.0044
AI_00475,0.9331,0.9405,0.0164,0.0009,-0.0022,0.0048,-0.0317,0.0044
AI_00033,0.9321,0.9405,-0.0158,0.0009,0.0019,-0.0071,0.0072,0.0044
AI_00218,0.9319,0.9405,0.0175,0.0009,0.0091,0.0046,0.0072,-0.0478
AI_00436,0.9312,0.9405,-0.0039,0.0009,-0.0107,-0.0072,0.0072,0.0044
AI_00052,0.9303,0.9405,-0.0077,0.0009,0.003,-0.0095,-0.0013,0.0044
AI_00360,0.9293,0.9405,-0.0115,0.0009,-0.0128,0.0071,0.0024,0.0027
AI_00188,0.9272,0.9405,-0.0193,0.0009,-0.0176,0.0111,0.0072,0.0044
AI_00255,0.9262,0.9405,-0.0065,0.0009,-0.0049,0.0111,-0.0192,0.0044
AI_00388,0.9256,0.9405,-0.0059,0.0009,0.0099,-0.0118,-0.0123,0.0044
AI_00521,0.925,0.9405,0.0001,0.0009,-0.0148,0.0018,0.0072,-0.0106
AI_00340,0.9228,0.9405,-0.0071,0.0009,0.0067,-0.0081,0.0072,-0.0173
AI_00106,0.9222,0.9405,0.0072,0.0009,-0.0326,-0.0054,0.0072,0.0044
AI_00242,0.921,0.9405,-0.0179,0.0009,0.0026,-0.0167,0.0072,0.0044
AI_00564,0.9204,0.9405,-0.0164,0.0009,-0.0022,-0.014,0.0072,0.0044
AI_00162,0.9192,0.9405,0.0059,-0.0111,0.0022,-0.0168,-0.0058,0.0044
