candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
BE00525,0.9102,0.845,0.0068,0.0,0.0211,0.0207,-0.0053,0.0219
BE00241,0.904,0.845,0.0129,0.0,0.0268,0.0053,0.0191,-0.0051
BE00252,0.9009,0.845,0.0067,0.0,-0.0088,-0.0044,0.0389,0.0236
BE00393,0.8818,0.845,-0.0043,0.0,0.0393,0.0161,0.0199,-0.0342
BE00509,0.8787,0.845,-0.0027,0.0,-0.0089,-0.0134,0.0389,0.0199
BE00436,0.8782,0.845,0.0003,0.0,0.0029,0.0045,0.0021,0.0236
BE00217,0.8734,0.845,0.0032,0.0,-0.0333,0.0041,0.0365,0.018
BE00179,0.8693,0.845,0.0043,0.0,0.0134,0.0189,-0.0021,-0.0101
BE00014,0.8682,0.845,-0.0034,0.0,0.0233,-0.0101,0.0135,-0.0001
BE00028,0.8581,0.845,0.0043,0.0,0.0393,-0.0201,-0.034,0.0236
BE00268,0.8527,0.845,0.0139,0.0,0.0301,0.0031,-0.017,-0.0224
BE00379,0.8515,0.845,0.0011,0.0,0.038,0.0037,-0.0186,-0.0177
BE00534,0.8445,0.845,0.0063,0.0,-0.0034,-0.0144,-0.0007,0.0116
BE00373,0.8366,0.845,-0.0136,0.0,0.0012,0.0045,-0.024,0.0236
BE00143,0.8357,0.845,-0.0062,0.0,-0.02,0.0101,-0.0167,0.0236
BE00490,0.8317,0.845,0.003,0.0,-0.0149,-0.0114,-0.0003,0.0104
BE00029,0.8293,0.845,-0.008,0.0,-0.0086,-0.0196,-0.003,0.0236
BE00059,0.8279,0.845,0.0039,0.0,-0.028,0.0083,0.007,-0.0082
BE00346,0.8271,0.845,-0.0118,0.0,0.0181,-0.0012,0.0092,-0.0323
BE00157,0.8247,0.845,-0.0006,0.0,-0.0224,-0.0219,0.0133,0.0113
BE00206,0.8247,0.845,-0.011,0.0,-0.001,-0.0062,0.0003,-0.0024
BE00386,0.8221,0.845,-0.0081,0.0,-0.0084,0.0047,-0.0239,0.0128
BE00021,0.8204,0.845,-0.0059,0.0,-0.0171,-0.0027,0.0146,-0.0135
BE00100,0.82,0.845,0.0073,0.0,-0.0135,0.0107,-0.0241,-0.0053
BE00041,0.8184,0.845,0.0001,0.0,-0.0093,-0.0013,0.0231,-0.0391
BE00572,0.8155,0.845,0.0001,0.0,-0.0404,-0.0101,0.0386,-0.0177
BE00237,0.8137,0.845,-0.0001,0.0,0.0377,-0.0021,-0.0687,0.002
BE00545,0.8116,0.845,-0.0113,0.0,0.0009,0.0042,0.0032,-0.0303
BE00517,0.8096,0.845,0.0164,0.0,-0.0174,0.0271,-0.0325,-0.029
BE00013,0.8083,0.845,-0.0033,0.0,-0.037,-0.0072,-0.0073,0.0182
