candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
BLO00464,0.9538,0.9042,0.0125,0.0005,0.0311,0.0222,-0.0129,-0.0038
BLO00436,0.9452,0.9042,0.0075,0.0005,-0.0004,0.0078,0.0213,0.0044
BLO00563,0.9395,0.9042,0.0109,0.0005,0.0227,-0.0141,0.0151,0.0001
BLO00100,0.9375,0.9042,-0.0062,0.0005,0.0257,0.0213,-0.0123,0.0044
BLO00215,0.934,0.9042,-0.0093,0.0005,0.027,-0.0076,0.0149,0.0044
BLO00460,0.9331,0.9042,-0.007,0.0005,0.0139,0.0003,0.0168,0.0044
BLO00506,0.9315,0.9042,0.0033,0.0005,0.0147,-0.0009,0.0053,0.0044
BLO00509,0.9212,0.9042,-0.009,0.0005,0.0136,0.0006,0.007,0.0044
BLO00242,0.9161,0.9042,0.0092,0.0005,-0.0013,0.0017,0.0091,-0.0073
BLO00449,0.9082,0.9042,-0.0033,0.0005,0.006,0.0036,-0.0071,0.0044
BLO00352,0.9058,0.9042,0.0078,0.0005,-0.0011,0.0013,0.0109,-0.0178
BLO00244,0.9055,0.9042,0.0083,0.0005,0.0054,0.0174,-0.0226,-0.0077
BLO00063,0.8988,0.9042,0.0056,-0.0139,-0.0087,0.0067,0.0006,0.0044
BLO00548,0.8979,0.9042,-0.0182,0.0005,-0.0015,0.003,0.0055,0.0044
BLO00455,0.8979,0.9042,-0.0015,0.0005,0.0128,-0.0079,0.0068,-0.0171
BLO00131,0.8978,0.9042,-0.0001,0.0005,-0.0068,0.0025,0.0245,-0.027
BLO00475,0.8976,0.9042,0.0006,0.0005,-0.025,0.0176,0.0124,-0.0127
BLO00359,0.8969,0.9042,-0.0067,0.0005,-0.0026,-0.0096,0.008,0.003
BLO00271,0.8958,0.9042,0.01,0.0005,0.0256,-0.0137,-0.0351,0.0044
BLO00188,0.8915,0.9042,0.0059,0.0005,-0.0008,-0.0138,-0.0088,0.0044
BLO00293,0.8907,0.9042,0.0009,0.0005,-0.0035,-0.008,-0.0077,0.0044
BLO00214,0.89,0.9042,-0.0033,0.0005,0.0035,-0.0067,-0.0115,0.0032
BLO00096,0.885,0.9042,0.0013,0.0005,-0.0022,-0.0034,-0.0198,0.0044
BLO00505,0.8821,0.9042,-0.0095,0.0005,-0.0298,0.0071,0.0052,0.0044
BLO00161,0.8819,0.9042,0.0025,0.0005,-0.0113,-0.0155,-0.0028,0.0044
BLO00274,0.8797,0.9042,0.0061,0.0005,-0.0102,-0.0069,-0.0182,0.0044
BLO00459,0.8781,0.9042,-0.0097,0.0005,-0.0344,-0.0021,0.0153,0.0044
BLO00206,0.878,0.9042,0.0057,0.0005,-0.0193,-0.0124,-0.005,0.0044
BLO00462,0.8779,0.9042,0.0015,0.0005,-0.0159,0.009,-0.0258,0.0044
BLO00059,0.8776,0.9042,-0.0157,0.0005,-0.0271,0.0004,0.0109,0.0044
