candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
BUS00028,0.963,0.9322,0.0173,0.0011,0.0021,-0.004,0.008,0.0063
BUS00584,0.9603,0.9322,0.019,0.0011,-0.0055,0.0135,-0.0032,0.0032
BUS00052,0.9507,0.9322,-0.0119,0.0011,0.0093,0.0004,0.008,0.0116
BUS00227,0.9493,0.9322,0.0151,0.0011,-0.0008,-0.0096,0.008,0.0033
BUS00436,0.949,0.9322,-0.0064,0.0011,0.0069,0.007,0.008,0.0002
BUS00216,0.9487,0.9322,0.0109,0.0011,0.0087,-0.0005,-0.0036,-0.0
BUS00508,0.9483,0.9322,-0.0027,0.0011,-0.0051,0.0139,0.008,0.0009
BUS00564,0.9481,0.9322,0.0143,0.0011,-0.0013,0.0061,-0.0008,-0.0034
BUS00559,0.9416,0.9322,0.0002,0.0011,-0.0012,0.0003,0.0053,0.0038
BUS00407,0.9361,0.9322,0.0002,0.0011,0.0011,-0.0132,0.008,0.0067
BUS00393,0.9355,0.9322,0.006,0.0011,-0.0095,0.0017,0.008,-0.004
BUS00063,0.9354,0.9322,-0.0094,0.0011,-0.0077,0.0154,0.008,-0.0042
BUS00392,0.9347,0.9322,-0.0066,0.0011,0.0093,0.0154,-0.0107,-0.006
BUS00380,0.9336,0.9322,0.0173,0.0011,-0.0109,0.0083,-0.0112,-0.0032
BUS00088,0.9311,0.9322,0.0127,-0.0316,-0.0051,0.0154,0.008,-0.0005
BUS00476,0.9301,0.9322,0.0152,0.0011,0.0093,-0.0354,0.008,-0.0002
BUS00525,0.9295,0.9322,-0.0006,0.0011,-0.0022,0.0154,0.008,-0.0243
BUS00257,0.9251,0.9322,-0.01,0.0011,0.0036,0.0026,-0.0161,0.0116
BUS00206,0.9236,0.9322,-0.0158,0.0011,-0.0012,0.0038,0.008,-0.0044
BUS00274,0.9223,0.9322,-0.0132,0.0011,0.0059,-0.0233,0.008,0.0116
BUS00261,0.9222,0.9322,-0.0041,0.0011,0.0032,-0.0054,-0.0088,0.004
BUS00255,0.922,0.9322,-0.0004,0.0011,-0.0023,0.0035,0.008,-0.02
BUS00237,0.9212,0.9322,0.0021,0.0011,-0.0023,-0.018,0.008,-0.0018
BUS00002,0.9211,0.9322,-0.0124,0.0011,0.0093,0.0154,-0.0204,-0.0042
BUS00316,0.9166,0.9322,-0.0014,0.0011,-0.01,-0.0212,0.008,0.008
BUS00523,0.9147,0.9322,-0.0144,0.0011,-0.0028,0.0101,0.008,-0.0194
BUS00277,0.9138,0.9322,-0.0005,0.0011,-0.0085,0.0153,-0.0279,0.0021
BUS00390,0.9134,0.9322,0.0032,0.0011,0.0093,-0.0223,-0.0119,0.0017
BUS00309,0.9128,0.9322,-0.0062,0.0011,-0.0057,0.0138,-0.0341,0.0116
BUS00202,0.9123,0.9322,-0.0177,0.0011,0.004,-0.0242,0.008,0.0089
