candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
CS00475,0.929,0.8515,0.0115,0.0014,0.0132,-0.0032,0.0263,0.0283
CS00525,0.8927,0.8515,0.0023,0.0014,0.0141,0.0191,-0.0032,0.0076
CS00227,0.8924,0.8515,-0.0005,0.0014,0.0153,0.0165,-0.0125,0.0208
CS00517,0.8917,0.8515,-0.0042,0.0014,-0.0035,0.0158,0.0126,0.0181
CS00096,0.8843,0.8515,-0.0104,0.0014,0.0044,0.0034,0.0105,0.0234
CS00036,0.879,0.8515,0.0092,0.0014,0.0089,-0.0116,0.0223,-0.0026
CS00005,0.8761,0.8515,0.0006,0.0014,0.022,0.0191,-0.0072,-0.0114
CS00309,0.8733,0.8515,0.0091,0.0014,0.0081,0.0118,-0.0154,0.0069
CS00467,0.8648,0.8515,0.0035,0.0014,-0.0119,0.0008,0.0018,0.0178
CS00402,0.8631,0.8515,0.0011,0.0014,0.022,0.0098,-0.0275,0.0048
CS00268,0.8618,0.8515,0.0203,0.0014,-0.0129,-0.0081,0.0263,-0.0167
CS00013,0.8599,0.8515,-0.0009,0.0014,0.0131,0.0059,-0.0117,0.0007
CS00499,0.8538,0.8515,-0.008,0.0014,0.0033,0.0179,-0.0027,-0.0096
CS00107,0.8501,0.8515,-0.0129,-0.0018,0.0211,-0.0189,0.0263,-0.0151
CS00255,0.8468,0.8515,0.0046,-0.0082,-0.0221,0.0004,0.0173,0.0034
CS00386,0.8442,0.8515,0.001,0.0014,0.0048,-0.0037,-0.0217,0.011
CS00065,0.8411,0.8515,0.0093,-0.005,0.0216,-0.0106,0.0026,-0.0284
CS00431,0.8358,0.8515,0.0024,0.0014,-0.0141,0.0092,-0.0122,-0.0024
CS00202,0.8353,0.8515,0.003,0.0014,-0.0363,0.0098,0.0263,-0.0204
CS00022,0.8335,0.8515,-0.0084,0.0014,0.022,-0.0228,0.0233,-0.0334
CS00490,0.8323,0.8515,-0.0063,0.0014,-0.0193,0.0077,0.0051,-0.0078
CS00172,0.8317,0.8515,-0.0046,0.0014,-0.0116,-0.0282,0.0263,-0.0031
CS00477,0.8235,0.8515,-0.0086,0.0014,-0.0167,-0.0004,-0.0003,-0.0034
CS00472,0.8231,0.8515,-0.0132,-0.021,-0.0097,0.0047,-0.0004,0.0111
CS00081,0.8228,0.8515,0.0117,0.0014,-0.0043,-0.026,-0.0182,0.0066
CS00492,0.8227,0.8515,-0.0059,0.0014,-0.0123,0.0023,-0.0008,-0.0136
CS00092,0.822,0.8515,-0.0038,0.0014,0.0134,0.0017,-0.0447,0.0024
CS00456,0.8215,0.8515,-0.0038,0.0014,-0.0197,-0.0212,0.0263,-0.013
CS00455,0.8205,0.8515,-0.0038,0.0014,-0.0053,-0.015,-0.0223,0.014
CS00283,0.8163,0.8515,0.0057,0.0014,-0.0078,0.0139,-0.0525,0.004
