candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
CYB00217,0.9844,0.9182,0.0053,0.0011,0.0238,0.0073,0.0194,0.0094
CYB00485,0.9614,0.9182,0.005,0.0011,0.0252,0.0023,0.0002,0.0094
CYB00059,0.956,0.9182,-0.0097,0.0011,0.019,0.0057,0.0194,0.0025
CYB00525,0.9483,0.9182,0.013,0.0011,0.0046,-0.0133,0.0154,0.0094
CYB00096,0.9467,0.9182,-0.0044,-0.0129,0.0252,-0.0063,0.0194,0.0077
CYB00475,0.9427,0.9182,-0.0083,0.0011,0.0252,0.0096,0.0033,-0.0063
CYB00222,0.9416,0.9182,-0.0006,0.0011,0.0252,-0.0068,0.0035,0.0011
CYB00476,0.9404,0.9182,0.0164,0.0011,-0.0054,0.0003,0.0194,-0.0094
CYB00428,0.9281,0.9182,-0.0096,0.0011,0.0086,0.0067,0.0074,-0.0043
CYB00508,0.9252,0.9182,-0.003,0.0011,-0.0018,0.0096,0.0194,-0.0182
CYB00517,0.9229,0.9182,0.0171,0.0011,-0.0097,0.0045,-0.0056,-0.0027
CYB00598,0.9222,0.9182,-0.0103,0.0011,0.0092,-0.0,0.0169,-0.0128
CYB00261,0.9219,0.9182,0.0101,0.0011,-0.0205,0.0045,0.005,0.0036
CYB00013,0.9151,0.9182,0.0008,0.0011,0.0073,-0.0175,-0.0042,0.0094
CYB00063,0.9119,0.9182,0.0028,0.0011,-0.0025,0.0096,-0.0153,-0.0019
CYB00122,0.9108,0.9182,-0.0101,0.0011,-0.003,0.0041,0.0194,-0.0188
CYB00359,0.908,0.9182,0.0103,0.0011,-0.0211,0.0042,0.0193,-0.024
CYB00555,0.9073,0.9182,-0.0128,0.0011,0.0062,0.0094,-0.006,-0.0088
CYB00053,0.9052,0.9182,-0.0085,0.0011,-0.0032,0.0052,-0.001,-0.0065
CYB00081,0.9028,0.9182,-0.0061,0.0011,0.0001,0.0096,-0.0293,0.0094
CYB00202,0.9002,0.9182,-0.0005,0.0011,-0.0299,0.0066,0.0014,0.0035
CYB00065,0.8992,0.9182,-0.009,0.0011,-0.0016,-0.0035,-0.0027,-0.0033
CYB00392,0.8987,0.9182,0.0027,0.0011,0.0135,0.0033,-0.0437,0.0037
CYB00257,0.8949,0.9182,0.0158,0.0011,-0.0078,0.0096,-0.0397,-0.0023
CYB00274,0.8945,0.9182,-0.0167,0.0011,-0.0096,-0.0272,0.0194,0.0094
CYB00227,0.8929,0.9182,0.0093,0.0011,-0.0153,-0.0251,-0.0043,0.0091
CYB00143,0.8916,0.9182,-0.0103,0.0011,-0.0159,-0.0104,-0.0003,0.0094
CYB00367,0.8904,0.9182,0.009,-0.0176,-0.0043,0.002,-0.0261,0.0094
CYB00563,0.8898,0.9182,-0.0107,0.0011,-0.0379,0.0042,0.0055,0.0094
CYB00171,0.8894,0.9182,0.0131,0.0011,-0.0034,-0.0078,-0.0351,0.0035
