candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
DAT00379,0.9755,0.9282,0.0208,0.0,0.0147,0.0124,-0.0072,0.0065
DAT00072,0.9634,0.9282,0.0204,0.0,0.0011,0.0124,-0.0052,0.0065
DAT00490,0.9566,0.9282,0.0064,0.0,-0.0,0.0033,0.0121,0.0065
DAT00523,0.9563,0.9282,0.0079,0.0,0.006,-0.0032,0.0121,0.0052
DAT00202,0.9537,0.9282,-0.0069,0.0,0.0133,0.0004,0.0121,0.0065
DAT00485,0.9485,0.9282,0.0081,0.0,0.0065,-0.0131,0.0121,0.0065
DAT00352,0.9476,0.9282,0.0074,0.0,-0.0014,0.0017,0.0051,0.0065
DAT00367,0.9426,0.9282,0.0039,0.0,0.002,-0.0019,0.0121,-0.0017
DAT00402,0.9382,0.9282,-0.0095,0.0,-0.006,0.0068,0.0121,0.0065
DAT00392,0.9361,0.9282,-0.0081,0.0,0.0021,-0.0047,0.0121,0.0065
DAT00476,0.9345,0.9282,0.0045,0.0,0.0177,0.0015,-0.024,0.0065
DAT00270,0.9328,0.9282,0.0048,0.0,-0.0107,0.0068,-0.0031,0.0065
DAT00525,0.9313,0.9282,-0.0049,0.0,-0.0059,-0.0048,0.0121,0.0065
DAT00162,0.9311,0.9282,-0.0001,0.0,0.0143,0.0071,-0.0142,-0.0043
DAT00508,0.9288,0.9282,0.0024,0.0,-0.009,-0.0073,0.0121,0.0024
DAT00216,0.9246,0.9282,0.0015,0.0,0.0177,0.0097,-0.0061,-0.0264
DAT00316,0.9194,0.9282,0.0013,0.0,0.0041,-0.0329,0.0121,0.0065
DAT00472,0.9167,0.9282,-0.004,0.0,0.0177,0.0027,-0.0218,-0.0062
DAT00586,0.9159,0.9282,0.0137,0.0,-0.0038,0.0079,-0.0227,-0.0074
DAT00460,0.9151,0.9282,-0.0008,0.0,-0.0108,0.0018,0.0121,-0.0155
DAT00418,0.9136,0.9282,-0.0074,0.0,-0.0153,0.005,-0.0035,0.0065
DAT00340,0.9126,0.9282,-0.0062,0.0,0.0062,-0.0038,-0.0184,0.0065
DAT00293,0.9117,0.9282,-0.0091,0.0,0.0029,0.0111,-0.0028,-0.0186
DAT00475,0.9113,0.9282,-0.0063,0.0,-0.0006,0.0082,-0.0248,0.0065
DAT00161,0.9107,0.9282,-0.0105,0.0,-0.0049,-0.0209,0.0121,0.0065
DAT00283,0.9102,0.9282,-0.0141,0.0,-0.0163,0.0088,0.0086,-0.005
DAT00359,0.9061,0.9282,-0.001,0.0,0.007,-0.0049,-0.013,-0.0101
DAT00022,0.9031,0.9282,0.0,0.0,-0.0122,-0.0142,0.0121,-0.011
DAT00131,0.8999,0.9282,-0.0073,0.0,-0.0156,-0.0049,0.0121,-0.0126
DAT00390,0.8993,0.9282,-0.0068,0.0,-0.021,0.0091,-0.0168,0.0065
