candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
DS00352,0.8772,0.8024,0.0154,0.0,0.0224,0.0252,-0.022,0.0338
DS00122,0.8638,0.8024,0.0098,0.0,-0.0189,0.0091,0.0608,0.0005
DS00103,0.8589,0.8024,-0.0028,0.0,0.0074,0.0278,0.031,-0.0069
DS00388,0.8426,0.8024,0.0023,0.0,-0.0137,0.011,0.047,-0.0065
DS00436,0.8351,0.8024,0.0042,0.0,-0.0074,0.0019,0.0462,-0.0122
DS00428,0.8286,0.8024,-0.0044,0.0,0.0117,-0.0129,0.0296,0.0022
DS00207,0.8262,0.8024,-0.0008,0.0,-0.0143,0.021,0.0149,0.003
DS00063,0.8248,0.8024,-0.0316,0.0,0.0042,0.0058,0.0597,-0.0157
DS00002,0.8182,0.8024,-0.0207,0.0,0.017,0.0053,0.0321,-0.0179
DS00283,0.8147,0.8024,0.0025,0.0,0.0021,-0.0213,0.0309,-0.0019
DS00106,0.8126,0.8024,-0.0076,0.0,0.0057,0.0018,0.0105,-0.0001
DS00598,0.8108,0.8024,-0.0072,0.0,0.0152,-0.0214,-0.0019,0.0237
DS00485,0.8071,0.8024,0.0103,0.0,0.0046,0.0021,-0.0141,0.0018
DS00065,0.8071,0.8024,-0.0019,0.0,0.0188,0.0075,-0.0253,0.0057
DS00162,0.8064,0.8024,0.023,0.0,-0.0109,-0.0012,0.0004,-0.0073
DS00201,0.7938,0.8024,-0.0029,0.0,-0.0097,0.013,-0.004,-0.0051
DS00346,0.7892,0.8024,-0.0224,0.0,-0.0042,0.0058,0.0138,-0.0062
DS00242,0.7873,0.8024,0.0128,0.0,-0.0031,-0.0271,0.0127,-0.0104
DS00179,0.7829,0.8024,0.017,0.0,-0.0086,-0.0135,-0.0217,0.0073
DS00449,0.7808,0.8024,0.0006,0.0,0.0116,0.0165,-0.0619,0.0116
DS00490,0.7757,0.8024,-0.0238,0.0,-0.0029,-0.0151,0.028,-0.013
DS00316,0.7718,0.8024,0.0101,0.0,-0.0047,0.0117,-0.0476,0.0
DS00462,0.7715,0.8024,0.0247,0.0,-0.0106,0.004,-0.0467,-0.0023
DS00548,0.7713,0.8024,0.01,0.0,-0.0132,0.016,-0.0068,-0.0371
DS00373,0.7713,0.8024,0.0127,0.0,0.0148,-0.0236,-0.0596,0.0247
DS00244,0.7708,0.8024,-0.0273,0.0,0.0079,0.0018,-0.0196,0.0056
DS00493,0.77,0.8024,0.0047,0.0,0.0032,-0.0293,-0.0399,0.029
DS00398,0.7677,0.8024,0.0177,0.0,-0.0144,0.0189,-0.0262,-0.0307
DS00418,0.7676,0.8024,-0.016,0.0,-0.0067,-0.0063,-0.0332,0.0274
DS00171,0.7665,0.8024,-0.0082,0.0,-0.0033,-0.0344,0.013,-0.003
