candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
DB00099,0.9457,0.823,0.0154,0.0011,0.025,0.0186,0.0414,0.0213
DB00527,0.9078,0.823,0.0042,0.0011,0.0346,0.0388,0.0212,-0.0151
DB00359,0.8583,0.823,0.0035,0.0011,0.0224,0.0332,-0.0397,0.0148
DB00100,0.8572,0.823,0.004,0.0011,0.0346,0.0122,-0.0043,-0.0134
DB00559,0.8562,0.823,0.011,0.0011,-0.0052,0.0047,0.0221,-0.0005
DB00586,0.8548,0.823,0.0074,0.0011,-0.0009,0.0001,0.0174,0.0066
DB00190,0.8546,0.823,-0.011,0.0011,0.029,-0.0105,0.0135,0.0095
DB00460,0.8409,0.823,-0.0058,0.0011,-0.0077,-0.0174,0.0434,0.0042
DB00414,0.8291,0.823,0.0085,0.0011,-0.0053,-0.0081,-0.0113,0.0211
DB00188,0.8236,0.823,0.0036,0.0011,-0.0114,-0.0032,-0.0223,0.0328
DB00035,0.8234,0.823,-0.0002,0.0011,-0.0063,0.0085,-0.0351,0.0324
DB00042,0.822,0.823,-0.0019,-0.0256,0.0012,0.0166,0.0275,-0.0188
DB00390,0.8213,0.823,-0.0061,0.0011,0.0182,0.0022,-0.009,-0.008
DB00456,0.8181,0.823,0.0064,0.0011,-0.0062,0.0187,-0.0223,-0.0026
DB00431,0.8153,0.823,-0.0013,0.0011,0.0035,0.0126,-0.0138,-0.0098
DB00511,0.8128,0.823,-0.0052,0.0011,0.0313,-0.0124,-0.0042,-0.0209
DB00255,0.8109,0.823,-0.0006,0.0011,-0.0297,-0.0049,-0.0052,0.0272
DB00157,0.8103,0.823,0.0017,0.0011,0.0023,0.0035,-0.0124,-0.0089
DB00388,0.8068,0.823,0.0129,0.0011,0.0036,0.0146,-0.0062,-0.0423
DB00393,0.8025,0.823,-0.0074,0.0011,-0.0024,-0.0105,-0.0137,0.0123
DB00106,0.8,0.823,-0.0098,0.0011,-0.0075,0.0052,-0.0061,-0.0059
DB00338,0.7965,0.823,-0.0107,0.0011,0.0014,0.025,-0.0263,-0.0169
DB00242,0.7962,0.823,0.004,0.0011,-0.0159,-0.0156,0.0199,-0.0204
DB00172,0.7958,0.823,0.0066,0.0011,0.0017,-0.0291,-0.0052,-0.0023
DB00379,0.7931,0.823,0.0094,0.0011,-0.0157,-0.01,0.0172,-0.0319
DB00499,0.7902,0.823,-0.0135,0.0011,0.0018,-0.0329,0.0345,-0.024
DB00340,0.7888,0.823,-0.0087,0.0011,-0.023,0.0012,-0.023,0.0181
DB00029,0.7881,0.823,-0.008,0.0011,-0.0254,-0.0276,0.0129,0.0121
DB00505,0.7872,0.823,0.0037,-0.0043,-0.0132,-0.0129,-0.0154,0.0061
DB00131,0.784,0.823,-0.0119,0.0011,-0.0349,-0.0209,0.0045,0.0231
