candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
DO00564,0.902,0.8307,-0.0048,0.0005,0.0245,0.0324,0.0181,0.0006
DO00122,0.8782,0.8307,-0.0071,0.0005,0.008,0.0257,0.0,0.0203
DO00096,0.8756,0.8307,-0.0061,0.0005,0.014,0.0189,0.0224,-0.005
DO00419,0.864,0.8307,0.0049,0.0005,-0.0157,-0.0107,0.0199,0.0344
DO00475,0.8634,0.8307,-0.0042,0.0005,-0.0008,0.0188,-0.0202,0.0384
DO00207,0.8538,0.8307,0.0065,0.0005,0.0137,0.0199,-0.0272,0.0096
DO00386,0.8517,0.8307,-0.0069,0.0005,0.0182,-0.0098,-0.0194,0.0384
DO00392,0.8513,0.8307,-0.007,0.0005,-0.0077,-0.0144,0.0181,0.031
DO00379,0.85,0.8307,0.0044,0.0005,-0.0093,0.0006,0.0189,0.0041
DO00346,0.8395,0.8307,0.004,0.0005,0.0147,0.0031,0.0183,-0.032
DO00268,0.8341,0.8307,0.0047,0.0005,0.015,-0.0109,-0.0378,0.0318
DO00106,0.8334,0.8307,-0.0024,-0.0115,0.0121,-0.0226,-0.0114,0.0384
DO00101,0.8311,0.8307,-0.0061,0.0005,-0.0037,-0.0176,0.0011,0.0261
DO00172,0.8292,0.8307,0.0141,0.0005,0.0005,-0.002,-0.0037,-0.011
DO00216,0.8266,0.8307,0.0029,0.0005,-0.0043,-0.0207,0.0046,0.0129
DO00242,0.8252,0.8307,0.0008,0.0005,-0.018,0.0001,0.0043,0.0067
DO00129,0.8232,0.8307,0.0123,0.0005,-0.0028,0.0041,-0.0029,-0.0187
DO00373,0.8221,0.8307,-0.0015,0.0005,-0.002,0.0007,-0.005,-0.0013
DO00261,0.8202,0.8307,0.0012,0.0005,0.0158,-0.0087,-0.008,-0.0113
DO00135,0.8195,0.8307,-0.0078,0.0005,-0.0169,0.0053,0.0185,-0.0108
DO00171,0.8087,0.8307,0.004,0.0005,0.0115,0.0097,-0.0168,-0.031
DO00490,0.8055,0.8307,-0.0012,0.0005,-0.0296,-0.0032,-0.0191,0.0274
DO00100,0.8044,0.8307,-0.0077,0.0005,0.0033,0.009,0.0118,-0.0433
DO00217,0.8037,0.8307,-0.0009,0.0005,0.0204,0.0022,0.0001,-0.0495
DO00586,0.8036,0.8307,-0.0045,0.0005,0.0107,-0.0013,0.0339,-0.0665
DO00270,0.802,0.8307,0.0097,-0.0035,-0.0096,-0.0046,0.0065,-0.0273
DO00492,0.8019,0.8307,0.0022,0.0005,-0.0094,-0.0011,-0.0197,-0.0014
DO00005,0.8009,0.8307,0.0003,0.0005,-0.0228,-0.0079,-0.0067,0.0068
DO00041,0.7991,0.8307,0.0019,0.0005,-0.0252,-0.0119,0.0052,-0.0022
DO00206,0.7985,0.8307,-0.0057,0.0005,-0.0046,-0.0028,-0.0037,-0.0159
