candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
EMB00122,0.9803,0.9304,0.0142,0.0003,0.0164,0.0129,0.0018,0.0043
EMB00289,0.9719,0.9304,0.0109,0.0003,0.0128,-0.0011,0.0144,0.0043
EMB00462,0.964,0.9304,-0.0038,0.0003,0.0075,0.0109,0.0144,0.0043
EMB00222,0.9524,0.9304,-0.0082,0.0003,0.0169,0.0131,-0.0045,0.0043
EMB00392,0.9501,0.9304,0.0019,0.0003,0.018,0.0027,-0.0075,0.0043
EMB00509,0.9484,0.9304,-0.0025,0.0003,-0.0116,0.0131,0.0144,0.0043
EMB00242,0.9439,0.9304,-0.0089,0.0003,0.0161,-0.0122,0.0139,0.0043
EMB00216,0.9407,0.9304,0.0062,0.0003,-0.0216,0.0131,0.0079,0.0043
EMB00493,0.9402,0.9304,0.0023,0.0003,0.0051,-0.0166,0.0144,0.0043
EMB00499,0.9399,0.9304,-0.0042,0.0003,0.0123,0.009,-0.0122,0.0043
EMB00231,0.9387,0.9304,0.0131,0.0003,-0.0046,-0.0192,0.0144,0.0043
EMB00015,0.9379,0.9304,-0.0118,0.0003,0.0107,-0.0011,0.005,0.0043
EMB00586,0.9375,0.9304,-0.0096,0.0003,0.0048,0.0131,0.0088,-0.0103
EMB00456,0.9319,0.9304,-0.0085,0.0003,0.0027,-0.0104,0.013,0.0043
EMB00584,0.93,0.9304,0.0171,0.0003,0.0021,0.0063,-0.0305,0.0043
EMB00346,0.9289,0.9304,0.003,0.0003,-0.0167,0.0007,0.0069,0.0043
EMB00106,0.9287,0.9304,-0.0091,0.0003,-0.0061,0.0022,0.0067,0.0043
EMB00402,0.924,0.9304,0.0024,0.0003,-0.0151,-0.0065,0.0082,0.0043
EMB00296,0.9236,0.9304,-0.0087,0.0003,0.0024,-0.002,0.0056,-0.0046
EMB00161,0.9224,0.9304,0.0072,0.0003,-0.0042,0.0131,-0.0073,-0.0172
EMB00464,0.9157,0.9304,-0.0093,0.0003,0.013,-0.0161,-0.0069,0.0043
EMB00261,0.9112,0.9304,-0.0116,0.0003,0.0024,-0.0171,0.0025,0.0043
EMB00167,0.9108,0.9304,0.0052,0.0003,-0.029,-0.0024,0.0019,0.0043
EMB00563,0.9104,0.9304,0.0128,0.0003,0.018,-0.017,-0.0385,0.0043
EMB00135,0.9065,0.9304,0.002,0.0003,-0.0189,0.0131,-0.0062,-0.0142
EMB00419,0.9063,0.9304,-0.0068,0.0003,-0.0149,0.0008,0.0117,-0.0153
EMB00052,0.9056,0.9304,0.0007,-0.009,0.0129,-0.0203,-0.0056,-0.0034
EMB00561,0.9041,0.9304,0.0057,0.0003,-0.0013,0.0131,-0.0134,-0.0307
EMB00309,0.9038,0.9304,0.0053,0.0003,-0.0046,0.0131,-0.0426,0.0019
EMB00252,0.9029,0.9304,-0.0073,0.0003,-0.0257,-0.0086,0.0096,0.0043
