candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
FE00464,0.9548,0.7852,0.0,0.0002,0.0473,0.026,0.0384,0.0577
FE00407,0.8977,0.7852,0.0014,0.0002,0.0225,-0.0016,0.0323,0.0577
FE00386,0.8458,0.7852,-0.0022,0.0002,0.0473,0.0197,0.0072,-0.0118
FE00545,0.8418,0.7852,0.0015,0.0002,0.0174,0.0092,-0.0045,0.0328
FE00207,0.8211,0.7852,-0.0046,0.0002,0.0473,0.0009,-0.0022,-0.0058
FE00485,0.8127,0.7852,0.0052,0.0002,0.0104,-0.0012,0.0063,0.0065
FE00456,0.8103,0.7852,-0.0055,0.0002,0.0104,-0.003,0.0099,0.0131
FE00059,0.8021,0.7852,0.0031,0.0002,0.0112,-0.0175,0.0024,0.0176
FE00139,0.786,0.7852,0.0128,0.0002,0.0195,-0.0061,-0.0458,0.02
FE00218,0.7859,0.7852,0.0033,0.0002,-0.006,-0.009,0.0075,0.0047
FE00455,0.781,0.7852,-0.0028,-0.0058,0.0005,-0.0226,0.0513,-0.0249
FE00036,0.7788,0.7852,0.0092,0.0002,-0.0255,0.0037,-0.0125,0.0185
FE00131,0.7779,0.7852,0.001,0.0002,-0.0156,0.0282,-0.0097,-0.0115
FE00271,0.7765,0.7852,-0.0074,0.0002,-0.0004,0.0062,-0.0205,0.0132
FE00561,0.7717,0.7852,0.0014,0.0002,0.0144,-0.0106,0.002,-0.0209
FE00490,0.7676,0.7852,-0.0044,0.0002,-0.0196,-0.0019,-0.021,0.0291
FE00072,0.7661,0.7852,-0.0019,0.0002,-0.0083,0.0171,-0.0022,-0.0239
FE00548,0.7637,0.7852,-0.0035,0.0002,-0.0204,0.0027,0.0259,-0.0265
FE00222,0.762,0.7852,-0.0085,0.0002,-0.0109,-0.0077,-0.0278,0.0315
FE00523,0.7599,0.7852,0.0142,0.0002,-0.0341,-0.0147,-0.0085,0.0175
FE00252,0.7583,0.7852,-0.0155,0.0002,-0.0115,0.0024,0.0033,-0.0058
FE00309,0.7575,0.7852,-0.0053,0.0002,0.0045,-0.012,0.0158,-0.0308
FE00103,0.7499,0.7852,0.0079,0.0002,0.0168,0.0193,-0.0211,-0.0584
FE00015,0.7489,0.7852,0.0033,0.0002,-0.0407,-0.0029,0.0106,-0.0068
FE00564,0.7483,0.7852,-0.0127,0.0002,-0.0146,0.0056,-0.0189,0.0035
FE00598,0.7483,0.7852,-0.0021,0.0002,-0.0177,-0.0094,-0.0013,-0.0065
FE00521,0.7477,0.7852,-0.001,0.0002,-0.0243,-0.0052,0.0291,-0.0364
FE00274,0.7457,0.7852,0.0053,0.0002,-0.0236,-0.0074,-0.0119,-0.0021
FE00206,0.7444,0.7852,0.0172,0.0002,-0.0034,0.0026,-0.0297,-0.0278
FE00227,0.7443,0.7852,-0.0096,0.0002,0.007,-0.0108,-0.0043,-0.0236
