candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
FS00253,0.9085,0.8112,0.0139,0.0019,0.0311,-0.0017,0.0126,0.0395
FS00072,0.8907,0.8112,0.0015,0.0019,0.045,0.0079,0.0018,0.0215
FS00179,0.8897,0.8112,0.0037,0.0019,0.0292,0.0123,-0.0052,0.0365
FS00564,0.874,0.8112,0.0014,0.0019,0.01,-0.0009,0.029,0.0215
FS00021,0.8551,0.8112,-0.0034,0.0019,0.0097,0.0041,0.045,-0.0134
FS00555,0.8542,0.8112,-0.002,0.0019,0.043,-0.004,0.0343,-0.03
FS00106,0.853,0.8112,0.0092,0.0019,0.0235,0.0106,-0.003,-0.0003
FS00467,0.832,0.8112,0.0034,0.0019,-0.0075,0.0046,0.0116,0.0067
FS00206,0.8194,0.8112,0.0038,0.0019,-0.0025,-0.0046,0.0077,0.0019
FS00157,0.8178,0.8112,-0.002,0.0019,0.0327,-0.0022,-0.0219,-0.0019
FS00360,0.8145,0.8112,-0.0078,0.0019,0.0028,-0.0091,-0.0107,0.0262
FS00314,0.8092,0.8112,-0.0011,0.0019,-0.0223,-0.0038,0.0207,0.0026
FS00476,0.8049,0.8112,-0.0023,0.0019,-0.0177,-0.0045,-0.0036,0.02
FS00534,0.8049,0.8112,-0.0012,0.0019,-0.0198,-0.0025,-0.004,0.0194
FS00490,0.8048,0.8112,-0.0034,0.0019,0.004,-0.0023,0.0227,-0.0293
FS00367,0.7986,0.8112,-0.0079,0.0019,-0.0208,-0.0104,0.0115,0.0132
FS00270,0.7976,0.8112,0.0017,0.0019,0.0067,0.0144,-0.0401,0.0018
FS00172,0.7932,0.8112,0.0028,0.0019,-0.0194,0.0017,-0.0055,0.0005
FS00407,0.7894,0.8112,-0.0054,0.0019,-0.028,-0.0144,0.0416,-0.0175
FS00042,0.7803,0.8112,-0.0036,0.0019,-0.0216,-0.0174,-0.0071,0.0169
FS00418,0.7792,0.8112,0.0118,0.0019,0.0037,-0.001,-0.0124,-0.036
FS00028,0.7789,0.8112,-0.0048,0.0019,0.0269,0.0081,-0.0505,-0.0138
FS00216,0.7775,0.8112,-0.0053,-0.0021,-0.0044,-0.0044,0.0243,-0.0418
FS00041,0.7761,0.8112,0.0037,0.0019,-0.0296,0.0104,-0.0548,0.0333
FS00035,0.775,0.8112,0.0041,-0.0261,-0.0024,0.016,-0.0109,-0.0169
FS00207,0.7744,0.8112,0.0035,0.0019,0.0031,-0.0052,0.002,-0.0422
FS00096,0.7733,0.8112,-0.0056,0.0019,-0.0241,-0.0131,0.0225,-0.0195
FS00215,0.7729,0.8112,-0.0125,0.0019,-0.0157,0.0234,0.0001,-0.0355
FS00527,0.7704,0.8112,-0.0029,-0.0221,-0.0064,-0.0104,-0.0273,0.0284
FS00525,0.767,0.8112,0.0065,0.0019,-0.029,-0.0017,-0.0306,0.0086
