candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
ML00398,0.9005,0.823,0.0079,0.0021,-0.0099,-0.0011,0.0459,0.0325
ML00028,0.8907,0.823,-0.0011,0.0021,0.0129,0.0304,0.0049,0.0184
ML00013,0.8775,0.823,0.0159,0.0021,0.002,0.0057,0.0007,0.028
ML00572,0.8628,0.823,0.0139,0.0021,0.0,0.0015,-0.0004,0.0226
ML00367,0.8588,0.823,0.0111,0.0021,-0.0071,-0.0005,0.0387,-0.0086
ML00065,0.8547,0.823,0.0021,-0.0179,-0.0074,0.0127,-0.001,0.0431
ML00449,0.8414,0.823,0.0039,0.0021,-0.0148,-0.0174,0.029,0.0155
ML00100,0.8393,0.823,0.0007,0.0021,0.0282,-0.0006,0.0087,-0.0228
ML00561,0.8388,0.823,0.0073,0.0021,0.0047,-0.0024,-0.0088,0.0128
ML00179,0.8226,0.823,-0.0041,0.0021,0.0374,0.0083,-0.0409,-0.0032
ML00555,0.8205,0.823,-0.0027,0.0021,-0.0074,0.0123,-0.0128,0.0059
ML00253,0.8176,0.823,0.0015,0.0021,-0.0064,-0.0246,0.009,0.0129
ML00455,0.8166,0.823,0.009,0.0021,-0.0165,-0.0036,0.0371,-0.0346
ML00525,0.8159,0.823,-0.012,-0.0179,0.0176,0.01,0.0185,-0.0234
ML00328,0.8145,0.823,0.0085,0.0021,0.0344,-0.0127,-0.025,-0.0158
ML00390,0.8141,0.823,-0.0076,-0.0139,-0.0002,0.001,-0.0004,0.0122
ML00244,0.813,0.823,0.0066,0.0021,0.0013,-0.0125,-0.0171,0.0096
ML00373,0.8115,0.823,0.0126,0.0021,-0.01,0.0195,0.0219,-0.0577
ML00459,0.8106,0.823,-0.011,0.0021,0.005,0.0326,-0.0237,-0.0175
ML00222,0.8088,0.823,-0.0023,0.0021,0.0226,-0.001,0.0126,-0.0481
ML00081,0.8076,0.823,-0.0195,0.0021,-0.0003,0.0113,-0.0065,-0.0027
ML00029,0.8075,0.823,-0.0178,0.0021,-0.0037,-0.005,0.0129,-0.0041
ML00485,0.8058,0.823,0.0015,0.0021,-0.0109,-0.0107,-0.0066,0.0074
ML00257,0.8019,0.823,0.0017,0.0021,-0.0198,-0.0177,-0.0164,0.0289
ML00359,0.7987,0.823,0.0023,-0.0019,-0.0297,-0.0009,-0.0372,0.0431
ML00143,0.7943,0.823,-0.0244,0.0021,0.0105,-0.0133,-0.0144,0.0107
ML00107,0.7938,0.823,0.0058,0.0021,-0.0111,-0.0226,-0.0171,0.0136
ML00206,0.7897,0.823,0.0039,-0.0019,-0.0149,-0.0005,-0.0022,-0.0176
ML00103,0.7817,0.823,-0.0128,0.0021,0.0104,-0.0079,0.0191,-0.0521
ML00241,0.7799,0.823,-0.0009,0.0021,-0.0169,0.0097,-0.0286,-0.0086
