candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
MA00274,0.9578,0.8128,0.0128,0.003,0.0448,0.0137,0.0323,0.0385
MA00456,0.8979,0.8128,0.0052,0.003,0.0184,0.006,0.0215,0.031
MA00472,0.8702,0.8128,0.0055,0.003,0.0028,-0.0018,0.0086,0.0393
MA00190,0.8612,0.8128,-0.0071,0.003,-0.0285,0.0173,0.0251,0.0385
MA00063,0.855,0.8128,-0.0017,0.003,0.0209,-0.0052,0.0173,0.0079
MA00555,0.8529,0.8128,-0.003,0.003,0.0228,0.0195,-0.0004,-0.0018
MA00390,0.8512,0.8128,0.0151,-0.0306,0.0333,-0.0007,0.0433,-0.022
MA00257,0.8508,0.8128,-0.0087,0.003,0.0118,-0.0086,0.0119,0.0285
MA00331,0.8446,0.8128,0.0073,0.003,-0.0015,0.0192,-0.0033,0.0071
MA00172,0.8442,0.8128,-0.0057,0.003,-0.0131,-0.0026,0.0104,0.0393
MA00192,0.8386,0.8128,-0.0005,0.003,0.0448,0.0095,-0.011,-0.0199
MA00188,0.8065,0.8128,-0.0018,0.003,0.0342,-0.0115,-0.0407,0.0104
MA00252,0.8,0.8128,0.0043,0.003,0.0169,0.0116,-0.0167,-0.0318
MA00029,0.8,0.8128,-0.0072,0.003,0.0054,-0.0034,0.0223,-0.0328
MA00270,0.7989,0.8128,-0.0057,0.003,-0.0134,-0.0217,0.043,-0.0191
MA00201,0.7979,0.8128,0.0028,0.003,-0.0051,0.0032,0.0176,-0.0364
MA00523,0.7953,0.8128,0.0036,0.003,-0.0021,-0.002,0.0157,-0.0357
MA00328,0.7938,0.8128,0.0091,0.003,0.0003,-0.0049,-0.0285,0.0019
MA00477,0.7924,0.8128,-0.0058,-0.0018,-0.0202,-0.0048,-0.0246,0.0366
MA00460,0.7914,0.8128,0.0087,0.003,-0.0207,0.0113,0.0205,-0.0442
MA00271,0.7813,0.8128,-0.0088,0.003,-0.0215,-0.0029,-0.0069,0.0056
MA00449,0.7763,0.8128,-0.0022,0.003,-0.0281,-0.0125,-0.036,0.0393
MA00485,0.7758,0.8128,0.0082,0.003,0.008,0.0104,-0.0086,-0.0579
MA00508,0.7704,0.8128,-0.0113,0.003,-0.0204,0.0007,-0.0152,0.0008
MA00214,0.7694,0.8128,-0.0038,-0.0114,-0.0119,0.002,0.0022,-0.0205
MA00289,0.7661,0.8128,0.001,0.003,0.003,-0.0072,-0.0211,-0.0254
MA00548,0.763,0.8128,-0.0034,0.003,-0.0361,-0.0076,-0.0246,0.019
MA00052,0.7615,0.8128,-0.0041,-0.0258,0.0162,-0.0118,-0.0018,-0.0241
MA00244,0.7598,0.8128,-0.002,0.003,-0.0425,-0.0251,-0.012,0.0256
MA00316,0.7589,0.8128,-0.0008,-0.0066,-0.0186,0.0099,-0.0401,0.0023
