candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
NET00359,0.9669,0.9109,0.0148,0.0009,0.015,0.0155,0.0105,-0.0007
NET00022,0.9542,0.9109,0.0057,0.0009,0.0181,0.0155,-0.0082,0.0114
NET00461,0.9417,0.9109,0.0104,0.0009,-0.0043,0.0075,0.0049,0.0114
NET00407,0.9367,0.9109,0.0059,0.0009,0.0181,0.0155,-0.026,0.0114
NET00179,0.9344,0.9109,0.0102,-0.0084,0.0091,0.012,0.0117,-0.0112
NET00096,0.9321,0.9109,0.0024,0.0009,0.0094,0.0016,0.0012,0.0056
NET00190,0.9321,0.9109,0.0113,0.0009,0.0034,-0.0116,0.0095,0.0076
NET00143,0.9289,0.9109,-0.0082,0.0009,-0.0019,-0.002,0.0206,0.0086
NET00506,0.9266,0.9109,-0.0002,0.0009,0.0168,-0.0074,0.0206,-0.0149
NET00231,0.919,0.9109,-0.0118,0.0009,-0.0147,0.0128,0.0095,0.0114
NET00464,0.9172,0.9109,0.0078,0.0009,0.0126,-0.0166,-0.01,0.0114
NET00328,0.9167,0.9109,0.003,0.0009,0.0142,0.0046,-0.0283,0.0114
NET00041,0.9104,0.9109,-0.0082,0.0009,0.0057,-0.0286,0.0206,0.009
NET00455,0.9063,0.9109,-0.0036,0.0009,-0.0093,-0.0058,0.0181,-0.0049
NET00475,0.9058,0.9109,0.0082,0.0009,0.0114,-0.0496,0.0145,0.0095
NET00139,0.9041,0.9109,-0.0105,0.0009,-0.0132,0.0155,-0.0101,0.0105
NET00065,0.9041,0.9109,0.0069,0.0009,-0.0154,-0.0135,0.0029,0.0114
NET00352,0.9007,0.9109,0.0036,0.0009,-0.0213,0.0155,0.0206,-0.0295
NET00131,0.8994,0.9109,0.0072,0.0009,0.0051,-0.0033,-0.011,-0.0104
NET00062,0.8985,0.9109,-0.0173,0.0009,-0.003,0.0155,0.0042,-0.0127
NET00216,0.8953,0.9109,-0.0066,0.0009,-0.0019,0.0082,-0.0276,0.0114
NET00346,0.8913,0.9109,-0.0054,0.0009,-0.0198,0.0155,0.0154,-0.0261
NET00419,0.8908,0.9109,-0.0182,0.0009,-0.0027,-0.0092,-0.0023,0.0114
NET00523,0.8905,0.9109,0.0033,0.0009,0.0002,0.0013,-0.006,-0.0202
NET00202,0.8899,0.9109,-0.0066,0.0009,-0.0113,-0.0182,0.0169,-0.0028
NET00167,0.8876,0.9109,-0.0075,0.0009,0.01,0.012,-0.0325,-0.0062
NET00014,0.8876,0.9109,-0.0085,0.0009,-0.013,0.0155,0.0121,-0.0304
NET00459,0.887,0.9109,0.0138,0.0009,-0.0131,0.0027,-0.0389,0.0107
NET00048,0.8864,0.9109,0.0071,-0.0177,0.0002,-0.0108,-0.0147,0.0114
NET00548,0.8853,0.9109,-0.0091,0.0009,-0.0044,-0.0098,0.0022,-0.0055
