candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
SIT00506,0.9785,0.9476,0.0012,0.0003,0.0101,0.0079,0.0097,0.0016
SIT00373,0.9783,0.9476,0.0036,0.0003,0.0101,0.0126,0.0025,0.0016
SIT00508,0.9733,0.9476,0.0069,0.0003,0.006,0.0116,-0.0007,0.0016
SIT00359,0.9718,0.9476,0.0055,0.0003,-0.0055,0.0126,0.0097,0.0016
SIT00274,0.9717,0.9476,-0.0041,0.0003,0.0059,0.0107,0.0097,0.0016
SIT00511,0.9715,0.9476,0.003,0.0003,0.0101,0.0126,-0.0036,0.0016
SIT00402,0.9632,0.9476,-0.0019,0.0003,0.0054,0.0126,-0.0024,0.0016
SIT00545,0.9611,0.9476,0.0157,0.0003,0.0008,0.0126,-0.0155,-0.0003
SIT00215,0.9542,0.9476,0.0138,0.0003,0.0101,-0.0202,0.001,0.0016
SIT00521,0.9502,0.9476,-0.0042,0.0003,0.0101,-0.015,0.0097,0.0016
SIT00201,0.9488,0.9476,0.0031,0.0003,0.0057,-0.013,0.0034,0.0016
SIT00253,0.9485,0.9476,-0.0027,0.0003,0.0079,-0.0159,0.0097,0.0016
SIT00179,0.9469,0.9476,-0.0051,0.0003,-0.0175,0.0126,0.0074,0.0016
SIT00096,0.9463,0.9476,-0.006,0.0003,-0.0006,0.0114,-0.008,0.0016
SIT00283,0.9447,0.9476,-0.004,0.0003,-0.0138,0.0033,0.0097,0.0016
SIT00296,0.9423,0.9476,0.005,0.0003,-0.0031,-0.0079,-0.0012,0.0016
SIT00462,0.9407,0.9476,-0.0038,0.0003,-0.0009,-0.0137,0.0097,0.0016
SIT00103,0.9407,0.9476,0.0024,0.0003,-0.0106,-0.0104,0.0097,0.0016
SIT00493,0.9383,0.9476,-0.0042,0.0003,0.0086,-0.0253,0.0097,0.0016
SIT00390,0.938,0.9476,0.0013,0.0003,-0.0112,0.0126,-0.0142,0.0016
SIT00227,0.9369,0.9476,-0.0072,0.0003,-0.0089,-0.0061,0.0097,0.0016
SIT00237,0.9353,0.9476,-0.0026,0.0003,-0.0007,0.006,-0.017,0.0016
SIT00139,0.9346,0.9476,-0.0008,0.0003,0.0017,0.0126,0.002,-0.0289
SIT00255,0.9329,0.9476,-0.0053,0.0003,0.0031,-0.0058,-0.0002,-0.0068
SIT00525,0.9322,0.9476,-0.0031,0.0003,-0.0165,-0.0075,0.0097,0.0016
SIT00270,0.9306,0.9476,0.0006,0.0003,-0.0091,-0.0124,0.0097,-0.0062
SIT00293,0.9305,0.9476,0.0073,0.0003,-0.0044,-0.0045,-0.0174,0.0016
SIT00379,0.9293,0.9476,-0.0031,0.0003,0.0101,-0.0057,-0.0215,0.0016
SIT00407,0.9292,0.9476,-0.0045,0.0003,0.0067,-0.0007,-0.0219,0.0016
SIT00059,0.9284,0.9476,-0.0068,-0.0077,-0.0098,0.0126,-0.009,0.0016
