candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
SE00253,0.917,0.8206,0.0158,0.0008,0.0304,-0.0027,0.0125,0.0397
SE00179,0.8975,0.8206,0.0022,0.0008,0.0286,0.0114,-0.004,0.038
SE00072,0.8873,0.8206,-0.0008,0.0008,0.0394,0.0063,0.0012,0.0199
SE00564,0.8757,0.8206,-0.001,0.0008,0.012,-0.0017,0.027,0.018
SE00106,0.8634,0.8206,0.0095,0.0008,0.0219,0.0093,-0.0011,0.0024
SE00021,0.8548,0.8206,-0.0073,0.0008,0.0085,0.0027,0.0419,-0.0124
SE00555,0.848,0.8206,-0.0055,0.0008,0.0371,-0.0057,0.0332,-0.0324
SE00360,0.8439,0.8206,-0.0026,0.0008,0.0087,-0.0065,-0.0089,0.0319
SE00467,0.8432,0.8206,0.0018,0.0008,-0.0063,0.0034,0.0136,0.0094
SE00157,0.841,0.8206,0.0052,0.0008,0.0346,0.0003,-0.0217,0.0012
SE00206,0.8267,0.8206,0.0023,0.0008,-0.0026,-0.006,0.0086,0.0029
SE00490,0.8146,0.8206,-0.0073,0.0008,0.0045,-0.0035,0.0252,-0.0257
SE00096,0.8133,0.8206,0.0003,0.0008,-0.0142,-0.0102,0.0263,-0.0103
SE00534,0.8121,0.8206,-0.0044,0.0008,-0.0183,-0.0039,-0.0031,0.0204
SE00314,0.8111,0.8206,-0.0042,0.0008,-0.0218,-0.0054,0.0201,0.001
SE00476,0.8078,0.8206,-0.0059,0.0008,-0.0172,-0.006,-0.0037,0.0193
SE00270,0.807,0.8206,-0.0005,0.0008,0.0066,0.0131,-0.0381,0.0045
SE00216,0.805,0.8206,0.0007,0.0008,0.0005,-0.002,0.024,-0.0395
SE00527,0.801,0.8206,0.004,-0.0152,-0.0018,-0.0082,-0.0281,0.0298
SE00367,0.7963,0.8206,-0.0133,0.0008,-0.0208,-0.0121,0.0104,0.0107
SE00407,0.7939,0.8206,-0.0099,0.0008,-0.0262,-0.0159,0.0419,-0.0174
SE00172,0.7924,0.8206,0.0009,0.0008,-0.0199,-0.0,-0.0071,-0.0029
SE00041,0.7894,0.8206,0.0022,0.0008,-0.0265,0.0092,-0.0529,0.0361
SE00388,0.7887,0.8206,0.0085,0.0008,-0.0198,0.0285,-0.053,0.0031
SE00418,0.7866,0.8206,0.013,0.0008,0.0027,-0.0025,-0.012,-0.0359
SE00525,0.7812,0.8206,0.0059,0.0008,-0.0259,-0.003,-0.0286,0.0114
SE00207,0.781,0.8206,0.0019,0.0008,0.0025,-0.0066,0.0029,-0.0412
SE00218,0.7799,0.8206,0.0155,-0.0072,0.019,0.0147,-0.0198,-0.0628
SE00042,0.7794,0.8206,-0.0076,0.0008,-0.0216,-0.0191,-0.0082,0.0144
SE00215,0.7777,0.8206,-0.0194,0.0008,-0.0142,0.0221,0.0016,-0.0337
