candidate_id,CSS,phi_0,phi_S_edu,phi_S_exp,phi_S_skill,phi_P_mcq,phi_P_desc,phi_P_code
UI_00561,0.9554,0.9121,-0.0104,0.0005,0.0193,0.0231,0.0054,0.0055
UI_00028,0.9485,0.9121,0.0155,0.0005,0.0021,-0.0052,0.0114,0.0122
UI_00493,0.9472,0.9121,-0.014,0.0005,0.0096,0.0231,0.0114,0.0046
UI_00172,0.9384,0.9121,0.0033,0.0005,-0.0127,0.0231,0.001,0.0111
UI_00062,0.9332,0.9121,-0.0027,0.0005,0.0193,-0.0083,0.0113,0.001
UI_00107,0.9285,0.9121,0.0127,0.0005,-0.0154,0.0231,-0.0056,0.0012
UI_00227,0.9264,0.9121,-0.0088,0.0005,0.0028,0.0086,-0.0009,0.0122
UI_00161,0.926,0.9121,0.0025,0.0005,0.0008,-0.0127,0.0114,0.0116
UI_00106,0.9204,0.9121,-0.0063,0.0005,0.001,0.0231,-0.0222,0.0122
UI_00534,0.9193,0.9121,-0.0133,0.0005,0.0029,0.0231,0.0114,-0.0174
UI_00129,0.9191,0.9121,0.0162,0.0005,0.0054,-0.0096,0.0114,-0.017
UI_00255,0.9172,0.9121,-0.003,0.0005,0.0063,0.004,0.0114,-0.014
UI_00352,0.9139,0.9121,0.0092,0.0005,0.0077,-0.003,-0.0139,0.0014
UI_00293,0.9126,0.9121,-0.0078,0.0005,-0.0012,0.0132,-0.0078,0.0037
UI_00190,0.9084,0.9121,-0.0054,0.0005,0.0031,0.0112,-0.0024,-0.0106
UI_00192,0.908,0.9121,-0.0118,-0.0145,0.0165,0.0015,0.0114,-0.0072
UI_00449,0.9076,0.9121,-0.0226,0.0005,-0.005,0.0153,0.0114,-0.0041
UI_00270,0.9049,0.9121,0.0154,0.0005,0.0033,0.0231,-0.0394,-0.0101
UI_00340,0.9046,0.9121,-0.0029,0.0005,0.0028,-0.0133,-0.0067,0.0122
UI_00555,0.9034,0.9121,-0.0121,0.0005,0.0001,-0.0207,0.0114,0.0122
UI_00033,0.9022,0.9121,0.0062,0.0005,-0.0039,-0.0212,0.0114,-0.0028
UI_00041,0.9014,0.9121,0.0149,0.0005,-0.0134,-0.0239,0.0114,-0.0002
UI_00244,0.896,0.9121,0.0082,0.0005,0.0009,-0.0341,0.0114,-0.0029
UI_00338,0.8935,0.9121,0.0188,0.0005,0.0043,-0.02,-0.0325,0.0104
UI_00021,0.8925,0.9121,0.0042,0.0005,-0.0146,-0.0194,0.0114,-0.0016
UI_00521,0.8896,0.9121,0.0006,0.0005,-0.0223,0.0031,0.0114,-0.0157
UI_00214,0.8876,0.9121,-0.0055,0.0005,0.0132,-0.0103,-0.0187,-0.0037
UI_00459,0.8871,0.9121,0.0058,0.0005,-0.0302,0.0036,0.0042,-0.0089
UI_00460,0.8851,0.9121,0.001,0.0005,0.0077,0.0006,-0.0392,0.0025
UI_00283,0.8846,0.9121,-0.0079,0.0005,-0.0106,-0.0207,0.0087,0.0027
